Experiment: scoreverloop Hillclimber,"depthhillcimber, 3d, sequence 5, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
0,-1.0,0.0
1,-3.55,0.55
2,-5.125,0.6
3,-5.9,0.675
4,-6.15,1.175
5,-6.875,0.875
6,-7.125,0.95
7,-7.675,1.075
8,-8.2,1.025
9,-8.325,0.825
10,-8.8,0.875
11,-9.075,0.95
12,-9.525,0.625
13,-9.625,1.225
14,-9.75,1.1
15,-9.9,0.65
16,-9.975,1.375
17,-10.25,1.05
18,-10.4,0.875
19,-10.425,1.0
20,-10.775,0.675
21,-10.875,1.275
22,-11.025,1.15
23,-11.075,0.95
24,-11.15,1.275
25,-11.225,0.8
26,-11.425,0.925
27,-11.675,1.075
28,-11.75,0.95
29,-11.75,1.125
30,-11.85,0.675
31,-11.85,1.15
32,-12.075,1.3
33,-12.075,1.05
34,-12.175,1.0
35,-12.225,0.825
36,-12.35,0.6
37,-12.475,1.475
38,-12.55,1.125
39,-12.575,1.175
40,-12.6,0.975
41,-12.8,1.225
42,-12.85,0.75
43,-12.85,1.125
44,-12.95,0.7
45,-13.075,0.925
46,-13.075,1.075
47,-13.125,0.75
48,-13.175,1.15
49,-13.175,1.0
50,-13.175,1.1
51,-13.225,1.25
52,-13.225,1.25
53,-13.325,0.775
54,-13.325,1.0
55,-13.35,0.7
56,-13.4,1.1
57,-13.5,0.9
58,-13.55,0.85
59,-13.55,1.025
60,-13.625,1.025
61,-13.625,1.275
62,-13.625,1.2
63,-13.625,1.225
64,-13.8,1.35
65,-13.925,1.2
66,-13.925,0.9
67,-14.125,1.0
68,-14.125,1.2
69,-14.125,0.775
70,-14.15,1.325
71,-14.175,1.25
72,-14.225,1.175
73,-14.25,1.075
74,-14.275,0.65
75,-14.275,1.05
76,-14.3,1.0
77,-14.3,0.825
78,-14.325,1.0
79,-14.35,0.825
80,-14.475,0.925
81,-14.5,0.975
82,-14.5,1.125
83,-14.525,0.45
84,-14.525,1.125
85,-14.55,0.85
86,-14.55,1.275
87,-14.55,1.025
88,-14.6,1.125
89,-14.65,1.35
90,-14.65,0.8
91,-14.775,1.3
92,-14.775,1.325
93,-14.775,1.3
94,-14.775,0.675
95,-14.85,0.775
96,-14.975,1.3
97,-14.975,1.275
98,-14.975,0.8
99,-15.025,1.25
100,-15.025,1.125
101,-15.025,0.575
102,-15.175,1.05
103,-15.35,0.95
104,-15.35,1.475
105,-15.35,1.4
106,-15.35,1.1
107,-15.35,0.95
108,-15.35,1.15
109,-15.375,0.925
110,-15.425,1.225
111,-15.425,0.825
112,-15.425,1.05
113,-15.425,1.5
114,-15.425,0.975
115,-15.425,0.775
116,-15.55,0.975
117,-15.55,0.975
118,-15.6,0.95
119,-15.6,1.275
120,-15.6,1.3
121,-15.625,0.675
122,-15.625,1.3
123,-15.625,0.925
124,-15.625,1.225
125,-15.625,0.85
126,-15.625,1.175
127,-15.65,1.075
128,-15.65,1.25
129,-15.65,1.3
130,-15.725,0.85
131,-15.725,1.6
132,-15.725,1.15
133,-15.725,1.05
134,-15.725,1.05
135,-15.75,1.4
136,-15.85,1.7
137,-15.85,1.225
138,-15.875,0.85
139,-15.975,1.025
140,-16.0,1.275
141,-16.0,1.15
142,-16.0,0.75
143,-16.0,0.9
144,-16.025,0.825
145,-16.05,0.675
146,-16.05,1.125
147,-16.05,1.35
148,-16.05,0.875
149,-16.075,1.475
150,-16.075,1.05
151,-16.075,1.2
152,-16.125,1.3
153,-16.15,1.475
154,-16.175,1.05
155,-16.2,1.05
156,-16.325,0.825
157,-16.325,0.9
158,-16.325,1.275
159,-16.325,1.6
160,-16.375,0.975
161,-16.375,1.25
162,-16.425,1.5
163,-16.425,0.85
164,-16.475,0.675
165,-16.5,0.95
166,-16.5,1.2
167,-16.5,1.4
168,-16.5,0.85
169,-16.5,1.075
170,-16.575,1.575
171,-16.575,1.225
172,-16.575,1.35
173,-16.575,0.875
174,-16.6,1.125
175,-16.6,0.9
176,-16.6,1.125
177,-16.6,1.55
178,-16.6,1.15
179,-16.6,1.025
180,-16.675,1.025
181,-16.725,0.8
182,-16.725,0.7
183,-16.725,0.75
184,-16.725,1.3
185,-16.725,1.25
186,-16.725,1.025
187,-16.725,1.425
188,-16.725,1.15
189,-16.725,1.35
190,-16.75,1.15
191,-16.75,1.325
192,-16.75,0.9
193,-16.775,1.325
194,-16.8,0.85
195,-16.8,1.8
196,-16.8,1.5
197,-16.8,1.6
198,-16.8,0.875
199,-16.8,0.95
200,-16.8,1.35
201,-16.8,0.975
202,-16.9,1.275
203,-16.9,0.975
204,-16.9,0.825
205,-16.9,0.875
206,-16.9,1.375
207,-16.9,0.75
208,-16.925,0.75
209,-16.925,1.375
210,-16.925,1.025
211,-17.05,0.775
212,-17.125,1.35
213,-17.125,1.5
214,-17.175,1.2
215,-17.175,1.25
216,-17.2,1.225
217,-17.2,0.875
218,-17.2,0.825
219,-17.2,1.375
220,-17.2,1.425
221,-17.2,1.2
222,-17.2,1.6
223,-17.2,1.6
224,-17.2,1.15
225,-17.2,1.2
226,-17.2,1.325
227,-17.25,1.3
228,-17.25,1.0
229,-17.25,1.15
230,-17.25,0.975
231,-17.25,1.425
232,-17.25,1.025
233,-17.25,0.925
234,-17.25,1.35
235,-17.25,0.85
236,-17.25,1.15
237,-17.25,1.075
238,-17.25,1.35
239,-17.25,1.125
240,-17.25,1.225
241,-17.25,1.225
242,-17.25,1.125
243,-17.25,1.45
244,-17.275,1.55
245,-17.3,1.35
246,-17.325,1.475
247,-17.325,1.15
248,-17.325,1.25
249,-17.325,1.675
250,-17.325,1.475
251,-17.325,1.65
252,-17.325,1.0
253,-17.325,0.8
