Cooling scheme,formula: T_current = T_begin - current_iteration * (T_begin - T_end) / total_iterations
1,100.0
2,99.9901
3,99.9802
4,99.9703
5,99.9604
6,99.9505
7,99.9406
8,99.9307
9,99.9208
10,99.9109
11,99.901
12,99.8911
13,99.8812
14,99.8713
15,99.8614
16,99.8515
17,99.8416
18,99.8317
19,99.8218
20,99.8119
21,99.802
22,99.7921
23,99.7822
24,99.7723
25,99.7624
26,99.7525
27,99.7426
28,99.7327
29,99.7228
30,99.7129
31,99.703
32,99.6931
33,99.6832
34,99.6733
35,99.6634
36,99.6535
37,99.6436
38,99.6337
39,99.6238
40,99.6139
41,99.604
42,99.5941
43,99.5842
44,99.5743
45,99.5644
46,99.5545
47,99.5446
48,99.5347
49,99.5248
50,99.5149
51,99.505
52,99.4951
53,99.4852
54,99.4753
55,99.4654
56,99.4555
57,99.4456
58,99.4357
59,99.4258
60,99.4159
61,99.406
62,99.3961
63,99.3862
64,99.3763
65,99.3664
66,99.3565
67,99.3466
68,99.3367
69,99.3268
70,99.3169
71,99.307
72,99.2971
73,99.2872
74,99.2773
75,99.2674
76,99.2575
77,99.2476
78,99.2377
79,99.2278
80,99.2179
81,99.208
82,99.1981
83,99.1882
84,99.1783
85,99.1684
86,99.1585
87,99.1486
88,99.1387
89,99.1288
90,99.1189
91,99.109
92,99.09909999999999
93,99.0892
94,99.0793
95,99.0694
96,99.0595
97,99.0496
98,99.0397
99,99.0298
100,99.0199
101,99.01
102,99.0001
103,98.9902
104,98.9803
105,98.9704
106,98.9605
107,98.9506
108,98.9407
109,98.9308
110,98.9209
111,98.911
112,98.9011
113,98.8912
114,98.8813
115,98.8714
116,98.8615
117,98.8516
118,98.8417
119,98.8318
120,98.8219
121,98.812
122,98.8021
123,98.7922
124,98.7823
125,98.7724
126,98.7625
127,98.7526
128,98.7427
129,98.7328
130,98.7229
131,98.713
132,98.7031
133,98.6932
134,98.6833
135,98.6734
136,98.6635
137,98.6536
138,98.6437
139,98.6338
140,98.6239
141,98.614
142,98.6041
143,98.5942
144,98.5843
145,98.5744
146,98.5645
147,98.5546
148,98.5447
149,98.5348
150,98.5249
151,98.515
152,98.5051
153,98.4952
154,98.4853
155,98.4754
156,98.4655
157,98.4556
158,98.4457
159,98.4358
160,98.4259
161,98.416
162,98.4061
163,98.3962
164,98.3863
165,98.3764
166,98.3665
167,98.3566
168,98.3467
169,98.3368
170,98.3269
171,98.317
172,98.3071
173,98.2972
174,98.2873
175,98.2774
176,98.2675
177,98.2576
178,98.2477
179,98.2378
180,98.2279
181,98.218
182,98.2081
183,98.1982
184,98.1883
185,98.1784
186,98.1685
187,98.1586
188,98.1487
189,98.1388
190,98.1289
191,98.119
192,98.1091
193,98.0992
194,98.0893
195,98.0794
196,98.0695
197,98.0596
198,98.0497
199,98.0398
200,98.0299
201,98.02
202,98.0101
203,98.0002
204,97.9903
205,97.9804
206,97.9705
207,97.9606
208,97.9507
209,97.9408
210,97.9309
211,97.921
212,97.9111
213,97.9012
214,97.8913
215,97.8814
216,97.8715
217,97.8616
218,97.8517
219,97.8418
220,97.8319
221,97.822
222,97.8121
223,97.8022
224,97.7923
225,97.7824
226,97.7725
227,97.7626
228,97.7527
229,97.7428
230,97.7329
231,97.723
232,97.7131
233,97.7032
234,97.6933
235,97.6834
236,97.6735
237,97.6636
238,97.6537
239,97.6438
240,97.6339
241,97.624
242,97.6141
243,97.6042
244,97.5943
245,97.5844
246,97.5745
247,97.5646
248,97.5547
249,97.5448
250,97.5349
251,97.525
252,97.5151
253,97.5052
254,97.4953
255,97.4854
256,97.4755
257,97.4656
258,97.45570000000001
259,97.4458
260,97.4359
261,97.426
262,97.4161
263,97.4062
264,97.3963
265,97.3864
266,97.3765
267,97.3666
268,97.3567
269,97.3468
270,97.3369
271,97.327
272,97.3171
273,97.3072
274,97.2973
275,97.2874
276,97.2775
277,97.2676
278,97.2577
279,97.2478
280,97.2379
281,97.228
282,97.2181
283,97.2082
284,97.1983
285,97.1884
286,97.1785
287,97.1686
288,97.1587
289,97.1488
290,97.1389
291,97.129
292,97.1191
293,97.1092
294,97.0993
295,97.0894
296,97.0795
297,97.0696
298,97.0597
299,97.0498
300,97.0399
301,97.03
302,97.0201
303,97.0102
304,97.0003
305,96.9904
306,96.9805
307,96.9706
308,96.9607
309,96.9508
310,96.9409
311,96.931
312,96.9211
313,96.9112
314,96.9013
315,96.8914
316,96.8815
317,96.8716
318,96.8617
319,96.8518
320,96.8419
321,96.832
322,96.8221
323,96.8122
324,96.8023
325,96.7924
326,96.7825
327,96.7726
328,96.7627
329,96.7528
330,96.7429
331,96.733
332,96.7231
333,96.7132
334,96.7033
335,96.6934
336,96.6835
337,96.6736
338,96.6637
339,96.6538
340,96.6439
341,96.634
342,96.6241
343,96.6142
344,96.6043
345,96.5944
346,96.5845
347,96.5746
348,96.5647
349,96.5548
350,96.5449
351,96.535
352,96.5251
353,96.5152
354,96.5053
355,96.4954
356,96.4855
357,96.4756
358,96.4657
359,96.4558
360,96.4459
361,96.436
362,96.4261
363,96.4162
364,96.4063
365,96.3964
366,96.3865
367,96.3766
368,96.3667
369,96.35679999999999
370,96.3469
371,96.337
372,96.3271
373,96.3172
374,96.3073
375,96.2974
376,96.2875
377,96.2776
378,96.2677
379,96.2578
380,96.2479
381,96.238
382,96.2281
383,96.2182
384,96.2083
385,96.1984
386,96.1885
387,96.1786
388,96.1687
389,96.1588
390,96.1489
391,96.139
392,96.1291
393,96.1192
394,96.1093
395,96.0994
396,96.0895
397,96.0796
398,96.0697
399,96.0598
400,96.0499
401,96.04
402,96.0301
403,96.0202
404,96.0103
405,96.0004
406,95.9905
407,95.9806
408,95.9707
409,95.9608
410,95.9509
411,95.941
412,95.9311
413,95.9212
414,95.9113
415,95.9014
416,95.8915
417,95.8816
418,95.8717
419,95.8618
420,95.8519
421,95.842
422,95.8321
423,95.8222
424,95.8123
425,95.8024
426,95.7925
427,95.7826
428,95.7727
429,95.7628
430,95.7529
431,95.743
432,95.73310000000001
433,95.7232
434,95.7133
435,95.7034
436,95.6935
437,95.6836
438,95.6737
439,95.6638
440,95.6539
441,95.644
442,95.6341
443,95.6242
444,95.6143
445,95.6044
446,95.5945
447,95.5846
448,95.5747
449,95.5648
450,95.5549
451,95.545
452,95.5351
453,95.5252
454,95.5153
455,95.5054
456,95.49549999999999
457,95.4856
458,95.4757
459,95.4658
460,95.4559
461,95.446
462,95.4361
463,95.4262
464,95.4163
465,95.4064
466,95.3965
467,95.3866
468,95.3767
469,95.3668
470,95.3569
471,95.347
472,95.3371
473,95.3272
474,95.3173
475,95.3074
476,95.2975
477,95.2876
478,95.2777
479,95.2678
480,95.2579
481,95.248
482,95.2381
483,95.2282
484,95.2183
485,95.2084
486,95.1985
487,95.1886
488,95.1787
489,95.1688
490,95.1589
491,95.149
492,95.1391
493,95.1292
494,95.1193
495,95.1094
496,95.0995
497,95.0896
498,95.0797
499,95.0698
500,95.0599
501,95.05
502,95.0401
503,95.0302
504,95.0203
505,95.0104
506,95.0005
507,94.9906
508,94.9807
509,94.9708
510,94.9609
511,94.951
512,94.9411
513,94.9312
514,94.9213
515,94.9114
516,94.9015
517,94.8916
518,94.8817
519,94.87180000000001
520,94.8619
521,94.852
522,94.8421
523,94.8322
524,94.8223
525,94.8124
526,94.8025
527,94.7926
528,94.7827
529,94.7728
530,94.7629
531,94.753
532,94.7431
533,94.7332
534,94.7233
535,94.71340000000001
536,94.7035
537,94.6936
538,94.6837
539,94.6738
540,94.6639
541,94.654
542,94.6441
543,94.63419999999999
544,94.6243
545,94.6144
546,94.6045
547,94.5946
548,94.5847
549,94.5748
550,94.5649
551,94.555
552,94.5451
553,94.5352
554,94.5253
555,94.5154
556,94.5055
557,94.4956
558,94.4857
559,94.47579999999999
560,94.4659
561,94.456
562,94.4461
563,94.4362
564,94.4263
565,94.4164
566,94.4065
567,94.3966
568,94.3867
569,94.3768
570,94.3669
571,94.357
572,94.3471
573,94.3372
574,94.3273
575,94.3174
576,94.3075
577,94.2976
578,94.2877
579,94.2778
580,94.2679
581,94.258
582,94.2481
583,94.2382
584,94.2283
585,94.2184
586,94.2085
587,94.1986
588,94.1887
589,94.1788
590,94.1689
591,94.159
592,94.1491
593,94.1392
594,94.1293
595,94.1194
596,94.1095
597,94.0996
598,94.0897
599,94.0798
600,94.0699
601,94.06
602,94.0501
603,94.0402
604,94.0303
605,94.0204
606,94.01050000000001
607,94.0006
608,93.9907
609,93.9808
610,93.9709
611,93.961
612,93.9511
613,93.9412
614,93.9313
615,93.9214
616,93.9115
617,93.9016
618,93.8917
619,93.8818
620,93.8719
621,93.862
622,93.85210000000001
623,93.8422
624,93.8323
625,93.8224
626,93.8125
627,93.8026
628,93.7927
629,93.7828
630,93.77289999999999
631,93.763
632,93.7531
633,93.7432
634,93.7333
635,93.7234
636,93.7135
637,93.7036
638,93.6937
639,93.6838
640,93.6739
641,93.664
642,93.6541
643,93.6442
644,93.6343
645,93.6244
646,93.61449999999999
647,93.6046
648,93.5947
