Experiment: cooling schedule exponentieel,"straight simulatedannealing, 2d, sequence 1, it: 10000, gemiddelde van 40 keer, formule: T_current = T_begin * math.pow((T_end / T_begin), ((current_iteration * 1 ) / total_iterations))"
0,0.0
1,0.0
2,0.0
3,0.0
4,-0.025
5,-0.025
6,-0.05
7,-0.125
8,-0.175
9,-0.15
10,-0.2
11,-0.25
12,-0.375
13,-0.375
14,-0.45
15,-0.425
16,-0.45
17,-0.375
18,-0.425
19,-0.475
20,-0.475
21,-0.5
22,-0.5
23,-0.625
24,-0.475
25,-0.425
26,-0.425
27,-0.4
28,-0.55
29,-0.5
30,-0.65
31,-0.675
32,-0.625
33,-0.55
34,-0.65
35,-0.625
36,-0.775
37,-0.775
38,-0.8
39,-0.7
40,-0.7
41,-0.725
42,-0.825
43,-0.75
44,-0.75
45,-0.925
46,-0.725
47,-0.75
48,-0.75
49,-0.725
50,-0.85
51,-0.825
52,-0.85
53,-0.575
54,-0.575
55,-0.6
56,-0.675
57,-0.65
58,-0.8
59,-0.6
60,-0.5
61,-0.425
62,-0.6
63,-0.625
64,-0.85
65,-0.975
66,-0.625
67,-0.725
68,-0.85
69,-0.875
70,-0.975
71,-0.925
72,-0.775
73,-0.6
74,-0.725
75,-0.675
76,-0.7
77,-0.7
78,-0.775
79,-0.825
80,-0.875
81,-0.65
82,-0.75
83,-0.85
84,-0.725
85,-0.7
86,-0.825
87,-0.675
88,-0.725
89,-0.625
90,-0.7
91,-0.825
92,-0.75
93,-0.775
94,-0.875
95,-0.7
96,-0.7
97,-0.65
98,-0.7
99,-0.825
100,-0.95
101,-1.05
102,-1.05
103,-1.05
104,-1.0
105,-0.825
106,-0.9
107,-0.85
108,-0.7
109,-0.875
110,-0.7
111,-0.575
112,-0.725
113,-0.8
114,-0.875
115,-0.875
116,-0.85
117,-0.775
118,-0.725
119,-0.65
120,-0.6
121,-0.625
122,-0.725
123,-0.7
124,-0.75
125,-0.925
126,-0.9
127,-1.05
128,-1.0
129,-1.075
130,-1.025
131,-0.9
132,-0.825
133,-0.825
134,-0.975
135,-0.875
136,-0.775
137,-0.725
138,-0.8
139,-0.9
140,-0.825
141,-0.825
142,-0.9
143,-0.725
144,-0.7
145,-0.525
146,-0.675
147,-0.65
148,-0.75
149,-0.775
150,-0.9
151,-0.875
152,-0.85
153,-0.675
154,-0.8
155,-0.975
156,-1.1
157,-0.9
158,-0.75
159,-0.75
160,-0.75
161,-0.825
162,-0.8
163,-0.875
164,-0.8
165,-0.825
166,-0.875
167,-0.8
168,-0.775
169,-0.825
170,-0.85
171,-0.75
172,-0.9
173,-0.9
174,-1.0
175,-1.0
176,-1.1
177,-1.075
178,-0.95
179,-0.925
180,-0.95
181,-0.825
182,-0.65
183,-0.875
184,-0.875
185,-0.825
186,-0.85
187,-0.9
188,-0.925
189,-0.7
190,-0.75
191,-0.7
192,-0.725
193,-0.8
194,-0.825
195,-0.8
196,-0.8
197,-0.675
198,-0.725
199,-0.675
200,-0.725
201,-0.65
202,-0.825
203,-0.85
204,-0.875
205,-0.7
206,-0.725
207,-0.75
208,-0.75
209,-0.475
210,-0.55
211,-0.525
212,-0.825
213,-0.8
214,-0.8
215,-0.75
216,-0.8
217,-0.8
218,-0.675
219,-0.775
220,-0.9
221,-0.775
222,-0.925
223,-0.925
224,-0.85
225,-0.75
226,-0.85
227,-0.9
228,-0.65
229,-0.7
230,-0.8
231,-0.65
232,-0.75
233,-0.775
234,-0.85
235,-0.8
236,-0.875
237,-0.75
238,-0.65
239,-0.925
240,-0.875
241,-0.825
242,-0.85
243,-0.675
244,-0.7
245,-0.775
246,-0.625
247,-0.575
248,-0.675
249,-0.75
250,-0.775
251,-0.7
252,-0.725
253,-0.7
254,-0.6
255,-0.65
256,-0.675
257,-0.775
258,-0.825
259,-0.85
260,-0.7
261,-0.725
262,-0.65
263,-0.7
264,-0.7
265,-0.725
266,-0.7
267,-0.8
268,-0.8
269,-0.75
270,-0.7
271,-0.6
272,-0.75
273,-0.7
274,-0.825
275,-1.0
276,-0.925
277,-0.925
278,-0.95
279,-0.725
280,-0.65
281,-0.65
282,-0.775
283,-0.775
284,-0.9
285,-0.675
286,-0.85
287,-1.05
288,-0.975
289,-0.775
290,-0.825
291,-0.85
292,-0.775
293,-0.9
294,-0.6
295,-0.55
296,-0.7
297,-0.725
298,-0.675
299,-0.775
300,-0.925
301,-0.825
302,-1.0
303,-0.9
304,-1.125
305,-1.05
306,-1.0
307,-0.975
308,-1.05
309,-0.9
310,-0.85
311,-0.9
312,-0.9
313,-0.925
314,-0.95
315,-0.925
316,-1.05
317,-0.9
318,-0.925
319,-0.8
320,-0.95
321,-1.025
322,-0.925
323,-0.925
324,-0.775
325,-0.9
326,-0.875
327,-0.9
328,-0.875
329,-0.8
330,-0.95
331,-0.725
332,-0.675
333,-0.725
334,-0.725
335,-0.675
336,-0.875
337,-0.875
338,-0.75
339,-0.75
340,-0.675
341,-0.9
342,-0.8
343,-0.725
344,-0.75
345,-0.75
346,-0.9
347,-0.825
348,-0.8
349,-0.7
350,-0.725
351,-0.85
352,-0.825
353,-0.925
354,-0.775
355,-0.9
356,-1.025
357,-0.925
358,-0.95
359,-0.975
360,-0.925
361,-0.9
362,-0.85
363,-0.675
364,-0.75
365,-0.725
366,-0.65
367,-0.55
368,-0.7
369,-0.875
370,-0.825
371,-0.875
372,-0.725
373,-0.7
374,-0.775
375,-0.8
376,-0.7
377,-0.825
378,-1.125
379,-1.1
380,-0.95
381,-0.875
382,-0.875
383,-0.825
384,-0.85
385,-0.9
386,-0.9
387,-1.075
388,-0.9
389,-0.775
390,-0.8
391,-0.8
392,-0.6
393,-0.625
394,-0.7
395,-0.8
396,-0.775
397,-0.75
398,-0.75
399,-0.95
400,-0.8
401,-0.825
402,-0.65
403,-0.9
404,-0.9
405,-1.15
406,-1.25
407,-1.1
408,-1.225
409,-1.025
410,-1.0
411,-1.25
412,-1.275
413,-0.925
414,-0.925
415,-0.975
416,-1.025
417,-1.075
418,-1.025
419,-1.05
420,-0.825
421,-1.025
422,-1.0
423,-0.975
424,-0.875
425,-0.9
426,-0.925
427,-0.925
428,-0.95
429,-0.85
430,-1.0
431,-0.975
432,-1.075
433,-1.075
434,-0.975
435,-0.875
436,-0.9
437,-0.925
438,-0.775
439,-0.725
440,-0.8
441,-0.725
442,-0.575
443,-0.725
444,-0.675
445,-0.925
446,-0.7
447,-0.775
448,-0.75
449,-0.9
450,-0.8
451,-1.025
452,-1.0
453,-1.025
454,-0.85
455,-0.925
456,-0.9
457,-1.025
458,-0.85
459,-1.025
460,-0.85
461,-0.75
462,-0.825
463,-0.85
464,-0.85
465,-0.925
466,-0.9
467,-0.9
468,-0.925
469,-0.825
470,-0.775
471,-0.85
472,-0.825
473,-0.675
474,-0.625
475,-0.625
476,-0.6
