Experiment: cooling schedule lineair,"straight simulatedannealing, 2d, sequence 1, it: 10000, gemiddelde van 40 keer, formule: T_current = T_begin - current_iteration * (T_begin - T_end) / total_iterations"
0,0.0
1,0.0
2,-0.025
3,-0.075
4,-0.075
5,-0.05
6,-0.075
7,-0.1
8,-0.1
9,-0.2
10,-0.3
11,-0.375
12,-0.45
13,-0.475
14,-0.5
15,-0.475
16,-0.55
17,-0.625
18,-0.625
19,-0.525
20,-0.525
21,-0.525
22,-0.6
23,-0.6
24,-0.675
25,-0.6
26,-0.675
27,-0.75
28,-0.8
29,-0.825
30,-0.75
31,-0.925
32,-0.825
33,-0.85
34,-0.675
35,-0.7
36,-0.725
37,-0.625
38,-0.725
39,-0.775
40,-0.775
41,-0.575
42,-0.5
43,-0.575
44,-0.65
45,-0.575
46,-0.6
47,-0.55
48,-0.725
49,-0.525
50,-0.675
51,-0.775
52,-0.75
53,-0.65
54,-0.75
55,-0.825
56,-0.9
57,-0.875
58,-1.0
59,-1.1
60,-1.05
61,-0.95
62,-0.65
63,-0.875
64,-0.825
65,-0.7
66,-0.775
67,-0.65
68,-0.675
69,-0.725
70,-0.8
71,-0.75
72,-0.65
73,-0.55
74,-0.6
75,-0.55
76,-0.7
77,-0.7
78,-0.725
79,-0.725
80,-0.55
81,-0.55
82,-0.625
83,-0.65
84,-0.75
85,-0.75
86,-0.675
87,-0.625
88,-0.55
89,-0.7
90,-0.575
91,-0.525
92,-0.525
93,-0.4
94,-0.7
95,-0.55
96,-0.65
97,-0.425
98,-0.525
99,-0.675
100,-0.95
101,-1.05
102,-1.0
103,-0.95
104,-1.025
105,-0.975
106,-0.9
107,-0.725
108,-0.825
109,-0.75
110,-0.825
111,-0.75
112,-0.625
113,-0.875
114,-1.075
115,-1.075
116,-0.95
117,-0.875
118,-0.925
119,-0.9
120,-0.9
121,-0.8
122,-0.925
123,-0.85
124,-0.975
125,-0.725
126,-0.575
127,-0.525
128,-0.6
129,-0.8
130,-0.875
131,-0.875
132,-0.725
133,-0.725
134,-0.725
135,-0.6
136,-0.65
137,-0.675
138,-0.775
139,-0.825
140,-0.725
141,-0.925
142,-0.825
143,-0.875
144,-0.7
145,-0.925
146,-0.825
147,-0.625
148,-0.6
149,-0.65
150,-0.75
151,-0.7
152,-0.7
153,-0.725
154,-0.575
155,-0.65
156,-0.75
157,-0.85
158,-0.875
159,-0.8
160,-0.875
161,-0.675
162,-0.725
163,-0.8
164,-0.8
165,-0.8
166,-0.875
167,-0.775
168,-0.9
169,-1.125
170,-1.3
171,-0.95
172,-1.05
173,-0.85
174,-0.875
175,-0.8
176,-0.7
177,-0.725
178,-0.675
179,-0.675
180,-0.75
181,-0.875
182,-0.9
183,-1.075
184,-1.075
185,-0.975
186,-0.85
187,-0.825
188,-0.8
189,-0.85
190,-0.8
191,-0.75
192,-0.625
193,-0.65
194,-0.825
195,-0.75
196,-0.65
197,-0.6
198,-0.5
199,-0.6
200,-0.725
201,-0.75
202,-0.775
203,-0.475
204,-0.475
205,-0.575
206,-0.5
207,-0.475
208,-0.5
209,-0.65
210,-0.6
211,-0.525
212,-0.725
213,-0.675
214,-0.75
215,-0.8
216,-0.625
217,-0.675
218,-0.75
219,-0.625
220,-0.725
221,-0.525
222,-0.65
223,-0.65
224,-0.725
225,-0.85
226,-0.925
227,-0.9
228,-1.15
229,-0.925
230,-0.975
231,-1.075
232,-0.975
233,-0.825
234,-0.775
235,-0.9
236,-0.925
237,-0.75
238,-0.725
239,-0.825
240,-1.1
241,-1.175
242,-1.125
243,-1.1
244,-1.125
245,-1.075
246,-1.0
247,-1.05
248,-0.8
249,-0.825
250,-0.95
251,-1.025
252,-0.975
253,-0.9
254,-0.9
255,-0.85
256,-0.75
257,-0.675
258,-0.65
259,-0.8
260,-0.725
261,-0.875
262,-0.675
263,-0.675
264,-0.775
265,-0.775
266,-0.625
267,-0.75
268,-0.8
269,-0.825
270,-0.775
271,-0.75
272,-0.7
273,-0.85
274,-0.95
275,-1.025
276,-0.85
277,-1.025
278,-0.875
279,-0.825
280,-0.875
281,-0.9
282,-0.925
283,-0.85
284,-0.875
285,-0.8
286,-0.85
287,-0.85
288,-0.75
289,-0.85
290,-0.825
291,-0.85
292,-0.925
293,-0.8
294,-0.9
295,-0.75
296,-0.65
297,-0.5
298,-0.575
299,-0.625
300,-0.675
301,-0.6
302,-0.775
303,-0.825
304,-0.8
305,-0.725
306,-0.725
307,-0.85
308,-0.85
309,-0.925
310,-1.0
311,-0.975
312,-0.9
313,-0.725
314,-0.775
315,-0.8
316,-0.8
317,-0.75
318,-0.9
319,-1.025
320,-0.925
321,-0.95
322,-0.925
323,-0.9
324,-0.875
325,-0.925
326,-1.0
327,-1.05
328,-1.175
329,-1.1
330,-1.05
331,-1.0
332,-0.95
333,-1.175
334,-1.1
335,-0.85
336,-0.975
337,-1.075
338,-1.05
339,-0.9
340,-0.8
341,-0.775
342,-0.825
343,-0.875
344,-0.925
345,-0.95
346,-0.95
347,-0.95
348,-1.175
349,-1.125
350,-1.0
351,-0.9
352,-0.9
353,-0.75
354,-0.9
355,-0.725
356,-0.8
357,-0.825
358,-0.975
359,-0.875
360,-0.975
361,-0.825
362,-0.85
363,-1.025
364,-0.9
365,-0.85
366,-0.825
367,-0.725
368,-0.75
369,-0.875
370,-0.95
371,-0.875
372,-0.725
373,-0.775
374,-0.775
375,-0.8
376,-0.8
377,-0.8
378,-0.925
379,-0.95
380,-0.825
381,-0.95
382,-0.875
383,-0.95
384,-0.95
385,-1.075
386,-0.75
387,-0.725
388,-0.625
389,-0.65
390,-0.575
391,-0.75
392,-0.55
393,-0.575
394,-0.5
395,-0.5
396,-0.55
397,-0.625
398,-0.775
399,-0.875
400,-0.75
401,-0.925
402,-0.9
403,-0.9
404,-0.75
405,-0.775
406,-0.775
407,-0.8
408,-0.9
409,-1.05
410,-0.95
411,-0.95
412,-0.95
413,-0.85
414,-0.825
415,-0.8
416,-0.9
417,-1.0
418,-1.0
419,-1.0
420,-0.975
421,-0.8
422,-0.9
423,-0.95
424,-0.925
425,-0.9
426,-1.025
427,-0.85
428,-0.8
429,-0.85
430,-0.925
431,-0.9
432,-0.875
433,-0.95
434,-0.8
435,-0.775
436,-0.875
437,-0.775
438,-0.95
439,-0.75
440,-0.625
441,-0.775
442,-0.65
443,-0.8
444,-0.9
445,-0.8
446,-0.775
447,-0.85
448,-0.925
449,-0.825
450,-1.0
451,-1.075
452,-1.125
453,-1.0
454,-0.875
455,-0.95
456,-0.975
457,-0.9
458,-0.875
459,-1.075
460,-0.9
461,-0.85
462,-0.9
463,-0.8
464,-0.825
465,-0.975
466,-0.9
467,-0.875
468,-0.825
469,-0.7
470,-0.875
471,-0.75
472,-0.775
473,-0.9
474,-0.7
475,-0.7
476,-0.65
477,-0.675
