Experiment: cooling schedule exponentieel 2,"straight simulatedannealing, 2d, sequence 4, it: 10000, gemiddelde van 40 keer, formule: T_current = T_begin * math.pow((T_end / T_begin), ((current_iteration * 2 ) / total_iterations))"
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,-0.025
6,-0.025
7,-0.025
8,-0.025
9,-0.05
10,-0.05
11,-0.075
12,-0.075
13,-0.1
14,-0.125
15,-0.125
16,-0.15
17,-0.15
18,-0.125
19,-0.175
20,-0.15
21,-0.15
22,-0.15
23,-0.175
24,-0.15
25,-0.15
26,-0.2
27,-0.225
28,-0.275
29,-0.25
30,-0.275
31,-0.35
32,-0.35
33,-0.325
34,-0.325
35,-0.375
36,-0.4
37,-0.375
38,-0.4
39,-0.45
40,-0.475
41,-0.55
42,-0.6
43,-0.675
44,-0.7
45,-0.7
46,-0.75
47,-0.7
48,-0.65
49,-0.65
50,-0.6
51,-0.6
52,-0.675
53,-0.7
54,-0.75
55,-0.775
56,-0.825
57,-0.825
58,-0.775
59,-0.75
60,-0.8
61,-0.85
62,-0.9
63,-0.925
64,-0.925
65,-1.0
66,-0.975
67,-1.025
68,-1.0
69,-1.075
70,-1.075
71,-1.05
72,-1.1
73,-1.025
74,-1.05
75,-1.2
76,-1.2
77,-1.1
78,-1.1
79,-1.1
80,-1.075
81,-1.125
82,-1.25
83,-1.175
84,-1.15
85,-1.15
86,-1.125
87,-1.15
88,-1.225
89,-1.2
90,-1.275
91,-1.25
92,-1.25
93,-1.275
94,-1.15
95,-1.175
96,-1.325
97,-1.375
98,-1.35
99,-1.3
100,-1.35
101,-1.325
102,-1.375
103,-1.35
104,-1.25
105,-1.225
106,-1.125
107,-1.075
108,-1.025
109,-1.05
110,-1.125
111,-1.275
112,-1.225
113,-1.25
114,-1.225
115,-1.225
116,-1.225
117,-1.2
118,-1.175
119,-1.125
120,-1.025
121,-1.0
122,-1.025
123,-1.05
124,-1.125
125,-1.1
126,-1.05
127,-1.05
128,-1.05
129,-1.1
130,-1.075
131,-1.125
132,-1.2
133,-1.2
134,-1.225
135,-1.275
136,-1.325
137,-1.35
138,-1.375
139,-1.325
140,-1.275
141,-1.3
142,-1.375
143,-1.25
144,-1.275
145,-1.225
146,-1.1
147,-1.0
148,-1.025
149,-1.05
150,-1.075
151,-1.075
152,-1.2
153,-1.15
154,-1.175
155,-1.125
156,-1.15
157,-1.075
158,-1.075
159,-1.075
160,-1.175
161,-1.175
162,-1.225
163,-1.225
164,-1.25
165,-1.225
166,-1.15
167,-1.175
168,-1.325
169,-1.475
170,-1.425
171,-1.425
172,-1.4
173,-1.35
174,-1.425
175,-1.425
176,-1.35
177,-1.275
178,-1.35
179,-1.225
180,-1.225
181,-1.175
182,-1.275
183,-1.475
184,-1.5
185,-1.725
186,-1.7
187,-1.725
188,-1.6
189,-1.6
190,-1.625
191,-1.525
192,-1.55
193,-1.525
194,-1.525
195,-1.525
196,-1.55
197,-1.475
198,-1.475
199,-1.45
200,-1.35
201,-1.375
202,-1.4
203,-1.45
204,-1.325
205,-1.3
206,-1.325
207,-1.35
208,-1.375
209,-1.25
210,-1.275
211,-1.35
212,-1.325
213,-1.15
214,-1.25
215,-1.225
216,-1.25
217,-1.4
218,-1.4
219,-1.525
220,-1.7
221,-1.775
222,-1.8
223,-1.85
224,-1.875
225,-1.875
226,-1.75
227,-1.8
228,-1.825
229,-1.775
230,-1.825
231,-1.875
232,-1.875
233,-1.875
234,-1.85
235,-1.8
236,-1.85
237,-1.925
238,-1.85
239,-1.8
240,-1.725
241,-1.675
242,-1.7
243,-1.65
244,-1.725
245,-1.625
246,-1.7
247,-1.7
248,-1.775
249,-1.8
250,-1.825
251,-1.775
252,-1.675
253,-1.7
254,-1.675
255,-1.675
256,-1.675
257,-1.75
258,-1.625
259,-1.6
260,-1.525
261,-1.575
262,-1.6
263,-1.425
264,-1.5
265,-1.475
266,-1.55
267,-1.65
268,-1.725
269,-1.775
270,-1.65
271,-1.625
272,-1.425
273,-1.325
274,-1.3
275,-1.35
276,-1.25
277,-1.125
278,-1.175
279,-1.2
280,-1.175
281,-1.2
282,-1.375
283,-1.475
284,-1.35
285,-1.3
286,-1.4
287,-1.4
288,-1.35
289,-1.375
290,-1.375
291,-1.325
292,-1.275
293,-1.25
294,-1.175
295,-1.275
296,-1.3
297,-1.225
298,-1.125
299,-1.275
300,-1.275
301,-1.3
302,-1.375
303,-1.35
304,-1.4
305,-1.35
306,-1.275
307,-1.325
308,-1.375
309,-1.45
310,-1.475
311,-1.475
312,-1.55
313,-1.5
314,-1.55
315,-1.525
316,-1.475
317,-1.475
318,-1.575
319,-1.5
320,-1.475
321,-1.575
322,-1.325
323,-1.275
324,-1.25
325,-1.175
326,-1.25
327,-1.35
328,-1.2
329,-1.15
330,-1.225
331,-1.3
332,-1.425
333,-1.5
334,-1.425
335,-1.5
336,-1.5
337,-1.525
338,-1.625
339,-1.55
340,-1.5
341,-1.275
342,-1.175
343,-1.325
344,-1.35
345,-1.45
346,-1.525
347,-1.475
348,-1.475
349,-1.425
350,-1.55
351,-1.625
352,-1.625
353,-1.5
354,-1.525
355,-1.425
356,-1.475
357,-1.575
358,-1.475
359,-1.5
360,-1.525
361,-1.625
362,-1.7
363,-1.525
364,-1.6
365,-1.825
366,-1.9
367,-1.925
368,-1.85
369,-1.825
370,-1.775
371,-1.85
372,-1.8
373,-1.725
374,-1.85
375,-1.925
376,-2.075
377,-2.05
378,-2.05
379,-1.975
380,-1.9
381,-1.825
382,-1.675
383,-1.625
384,-1.675
385,-1.65
386,-1.65
387,-1.625
388,-1.7
389,-1.7
390,-1.7
391,-1.75
392,-1.775
393,-1.75
394,-1.75
395,-1.775
396,-1.825
397,-1.8
398,-1.7
399,-1.7
400,-1.525
401,-1.575
402,-1.575
403,-1.425
404,-1.525
405,-1.55
406,-1.725
407,-1.725
408,-1.65
409,-1.575
410,-1.525
411,-1.55
412,-1.65
413,-1.65
414,-1.675
415,-1.725
416,-1.775
417,-1.6
418,-1.5
419,-1.5
420,-1.425
421,-1.45
422,-1.475
423,-1.55
424,-1.45
425,-1.575
426,-1.45
427,-1.625
428,-1.675
429,-1.525
430,-1.65
431,-1.575
432,-1.575
433,-1.55
434,-1.675
435,-1.675
436,-1.75
437,-1.725
438,-1.8
439,-1.775
440,-1.725
441,-1.6
442,-1.55
443,-1.55
444,-1.525
445,-1.625
446,-1.55
447,-1.425
448,-1.325
449,-1.2
450,-1.175
451,-1.125
452,-1.05
453,-1.05
454,-1.05
455,-1.0
456,-1.0
457,-1.025
458,-1.1
459,-1.25
460,-1.45
461,-1.5
462,-1.425
463,-1.4
464,-1.375
465,-1.55
466,-1.5
467,-1.65
468,-1.75
469,-1.9
470,-1.9
471,-2.025
472,-2.025
473,-1.825
474,-1.65
475,-1.625
