Experiment3.2: ,"Random, straight, 3d, sequence 1, it: 1000"
0,-1
1,-1
2,-1
3,-1
4,-2
5,-2
6,-2
7,-2
8,-2
9,-2
10,-2
11,-2
12,-2
13,-2
14,-3
15,-3
16,-3
17,-3
18,-3
19,-3
20,-3
21,-3
22,-3
23,-3
24,-3
25,-3
26,-3
27,-3
28,-5
29,-5
30,-5
31,-5
32,-5
33,-5
34,-5
35,-5
36,-5
37,-5
38,-5
39,-5
40,-5
41,-5
42,-5
43,-5
44,-5
45,-5
46,-5
47,-5
48,-5
49,-5
50,-5
51,-5
52,-5
53,-5
54,-5
55,-5
56,-5
57,-5
58,-5
59,-5
60,-5
61,-5
62,-5
63,-5
64,-5
65,-5
66,-5
67,-5
68,-5
69,-6
70,-6
71,-6
72,-6
73,-6
74,-6
75,-6
76,-6
77,-6
78,-6
79,-6
80,-6
81,-6
82,-6
83,-6
84,-6
85,-6
86,-6
87,-6
88,-6
89,-6
90,-6
91,-6
92,-6
93,-6
94,-6
95,-6
96,-6
97,-6
98,-6
99,-6
100,-6
101,-6
102,-6
103,-6
104,-6
105,-6
106,-6
107,-6
108,-6
109,-6
110,-6
111,-6
112,-6
113,-6
114,-6
115,-6
116,-6
117,-6
118,-6
119,-6
120,-6
121,-6
122,-6
123,-6
124,-6
125,-6
126,-6
127,-6
128,-6
129,-6
130,-6
131,-6
132,-6
133,-6
134,-6
135,-6
136,-6
137,-6
138,-6
139,-6
140,-6
141,-6
142,-6
143,-6
144,-6
145,-6
146,-6
147,-6
148,-6
149,-6
150,-6
151,-6
152,-6
153,-6
154,-6
155,-6
156,-6
157,-6
158,-6
159,-6
160,-6
161,-6
162,-6
163,-6
164,-6
165,-6
166,-6
167,-6
168,-6
169,-6
170,-6
171,-6
172,-6
173,-6
174,-6
175,-6
176,-6
177,-6
178,-6
179,-6
180,-6
181,-6
182,-6
183,-6
184,-6
185,-6
186,-6
187,-6
188,-6
189,-6
190,-6
191,-6
192,-6
193,-6
194,-6
195,-6
196,-6
197,-6
198,-6
199,-6
200,-6
201,-6
202,-6
203,-6
204,-6
205,-6
206,-6
207,-6
208,-6
209,-6
210,-6
211,-6
212,-6
213,-6
214,-6
215,-6
216,-6
217,-6
218,-6
219,-6
220,-6
221,-6
222,-6
223,-6
224,-6
225,-6
226,-6
227,-6
228,-6
229,-6
230,-6
231,-6
232,-6
233,-6
234,-6
235,-6
236,-6
237,-6
238,-6
239,-6
240,-6
241,-6
242,-6
243,-6
244,-6
245,-6
246,-6
247,-6
248,-6
249,-6
250,-6
251,-6
252,-6
253,-6
254,-6
255,-6
256,-6
257,-6
258,-6
259,-6
260,-6
261,-6
262,-6
263,-6
264,-6
265,-6
266,-6
267,-6
268,-6
269,-6
270,-6
271,-6
272,-6
273,-6
274,-6
275,-6
276,-6
277,-6
278,-6
279,-6
280,-6
281,-6
282,-6
283,-6
284,-6
285,-6
286,-6
287,-6
288,-6
289,-6
290,-6
291,-6
292,-6
293,-6
294,-6
295,-6
296,-6
297,-6
298,-6
299,-6
300,-6
301,-6
302,-6
303,-6
304,-6
305,-6
306,-6
307,-6
308,-6
309,-6
310,-6
311,-6
312,-6
313,-6
314,-6
315,-6
316,-6
317,-6
318,-6
319,-6
320,-6
321,-6
322,-6
323,-6
324,-6
325,-6
326,-6
327,-6
328,-6
329,-6
330,-6
331,-6
332,-6
333,-6
334,-6
335,-6
336,-6
337,-6
338,-6
339,-6
340,-6
341,-6
342,-6
343,-6
344,-6
345,-6
346,-6
347,-6
348,-6
349,-6
350,-6
351,-6
352,-6
353,-6
354,-6
355,-6
356,-6
357,-6
358,-6
359,-6
360,-6
361,-6
362,-6
363,-6
364,-6
365,-6
366,-6
367,-7
368,-7
369,-7
370,-7
371,-7
372,-7
373,-7
374,-7
375,-7
376,-7
377,-7
378,-7
379,-7
380,-7
381,-7
382,-7
383,-7
384,-7
385,-7
386,-7
387,-7
388,-7
389,-7
390,-7
391,-7
392,-7
393,-7
394,-7
395,-7
396,-7
397,-7
398,-7
399,-7
400,-7
401,-7
402,-7
403,-7
404,-7
405,-7
406,-7
407,-7
408,-7
409,-7
410,-7
411,-7
412,-7
413,-7
414,-7
415,-7
416,-7
417,-7
418,-7
419,-7
420,-7
421,-7
422,-7
423,-7
424,-7
425,-7
426,-7
427,-7
428,-7
429,-7
430,-7
431,-7
432,-7
433,-7
434,-7
435,-7
436,-7
437,-7
438,-7
439,-7
440,-7
441,-7
442,-7
443,-7
444,-7
445,-7
446,-7
447,-7
448,-7
449,-7
450,-7
451,-7
452,-7
453,-7
454,-7
455,-7
456,-7
457,-7
458,-7
459,-7
460,-7
461,-7
462,-7
463,-7
464,-7
465,-7
466,-7
467,-7
468,-7
469,-7
470,-7
471,-7
472,-7
473,-7
474,-7
475,-7
476,-7
477,-7
478,-7
479,-7
480,-7
481,-7
482,-7
483,-7
484,-7
485,-7
486,-7
487,-7
488,-7
489,-7
490,-7
491,-7
492,-7
493,-7
494,-7
495,-7
496,-7
497,-7
498,-7
499,-7
500,-7
501,-7
502,-7
503,-7
504,-7
505,-7
506,-7
507,-7
508,-7
509,-7
510,-7
511,-7
512,-7
513,-7
514,-7
515,-7
516,-7
517,-7
518,-7
519,-7
520,-7
521,-7
522,-7
523,-7
524,-7
525,-7
526,-7
527,-7
528,-7
529,-7
530,-7
531,-7
532,-7
533,-7
534,-7
535,-7
536,-7
537,-7
538,-7
539,-7
540,-7
541,-7
542,-7
543,-7
544,-7
545,-7
546,-7
547,-7
548,-7
549,-7
550,-7
551,-7
552,-7
553,-7
554,-7
555,-7
556,-7
557,-7
558,-7
559,-7
560,-7
561,-7
562,-7
563,-7
564,-7
565,-7
566,-7
567,-7
568,-7
569,-7
570,-7
571,-7
572,-7
573,-7
574,-7
575,-7
576,-7
577,-7
578,-7
579,-7
580,-7
581,-7
582,-7
583,-7
584,-7
585,-7
586,-7
587,-7
588,-7
589,-7
590,-7
591,-7
592,-7
593,-7
594,-7
595,-7
596,-7
597,-7
598,-7
599,-7
600,-7
601,-7
602,-7
603,-7
604,-7
605,-7
606,-7
607,-7
608,-7
609,-7
610,-7
611,-7
612,-7
613,-7
614,-7
615,-7
616,-7
617,-7
618,-7
619,-7
620,-7
621,-7
622,-7
623,-7
624,-7
625,-7
626,-7
627,-7
628,-7
629,-7
630,-7
631,-7
632,-7
633,-7
634,-7
635,-7
636,-7
637,-7
638,-7
639,-7
640,-7
641,-7
642,-7
643,-7
