Experiment5: ,"Straight, 3d, sequence 4, it: 1000"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-2
25,-2
26,-2
27,-2
28,-2
29,-2
30,-2
31,-2
32,-2
33,-2
34,-2
35,-2
36,-2
37,-2
38,-2
39,-2
40,-2
41,-2
42,-2
43,-2
44,-2
45,-2
46,-2
47,-2
48,-2
49,-2
50,-3
51,-3
52,-3
53,-3
54,-3
55,-3
56,-3
57,-3
58,-3
59,-3
60,-3
61,-3
62,-3
63,-3
64,-3
65,-3
66,-3
67,-3
68,-3
69,-3
70,-3
71,-3
72,-3
73,-3
74,-3
75,-3
76,-4
77,-6
78,-6
79,-6
80,-6
81,-6
82,-6
83,-6
84,-6
85,-6
86,-6
87,-6
88,-6
89,-6
90,-6
91,-6
92,-7
93,-7
94,-7
95,-7
96,-7
97,-7
98,-8
99,-8
100,-8
101,-8
102,-8
103,-8
104,-8
105,-8
106,-8
107,-8
108,-8
109,-8
110,-8
111,-8
112,-8
113,-8
114,-8
115,-8
116,-8
117,-8
118,-8
119,-8
120,-8
121,-8
122,-8
123,-8
124,-8
125,-8
126,-9
127,-9
128,-9
129,-9
130,-9
131,-9
132,-9
133,-9
134,-9
135,-9
136,-9
137,-9
138,-9
139,-9
140,-9
141,-9
142,-9
143,-9
144,-9
145,-9
146,-9
147,-9
148,-9
149,-9
150,-9
151,-9
152,-9
153,-9
154,-9
155,-9
156,-9
157,-9
158,-9
159,-9
160,-9
161,-9
162,-9
163,-9
164,-9
165,-9
166,-9
167,-9
168,-9
169,-9
170,-9
171,-9
172,-9
173,-9
174,-9
175,-9
176,-9
177,-9
178,-9
179,-9
180,-9
181,-9
182,-9
183,-9
184,-9
185,-9
186,-9
187,-9
188,-9
189,-9
190,-9
191,-10
192,-10
193,-10
194,-10
195,-10
196,-10
197,-10
198,-10
199,-10
200,-10
201,-10
202,-10
203,-10
204,-10
205,-10
206,-10
207,-10
208,-10
209,-10
210,-10
211,-10
212,-10
213,-10
214,-10
215,-10
216,-10
217,-10
218,-10
219,-10
220,-10
221,-10
222,-10
223,-10
224,-10
225,-10
226,-10
227,-10
228,-10
229,-10
230,-10
231,-10
232,-10
233,-10
234,-10
235,-10
236,-10
237,-10
238,-10
239,-10
240,-10
241,-10
242,-10
243,-10
244,-10
245,-10
246,-10
247,-10
248,-10
249,-10
250,-10
251,-10
252,-10
253,-10
254,-10
255,-10
256,-10
257,-10
258,-10
259,-10
260,-10
261,-10
262,-10
263,-10
264,-10
265,-10
266,-10
267,-10
268,-10
269,-10
270,-10
271,-10
272,-10
273,-10
274,-10
275,-10
276,-10
277,-10
278,-10
279,-10
280,-10
281,-10
282,-10
283,-10
284,-10
285,-11
286,-11
287,-11
288,-11
289,-11
290,-11
291,-11
292,-11
293,-11
294,-11
295,-11
296,-11
297,-11
298,-11
299,-11
300,-11
301,-11
302,-11
303,-11
304,-11
305,-11
306,-11
307,-11
308,-11
309,-11
310,-11
311,-11
312,-11
313,-11
314,-11
315,-11
316,-11
317,-11
318,-11
319,-11
320,-11
321,-12
322,-12
323,-12
324,-12
325,-12
326,-12
327,-12
328,-12
329,-12
330,-12
331,-12
332,-12
333,-12
334,-12
335,-12
336,-12
337,-12
338,-12
339,-12
340,-12
341,-12
342,-12
343,-12
344,-12
345,-12
346,-12
347,-12
348,-12
349,-12
350,-12
351,-12
352,-12
353,-12
354,-12
355,-12
356,-12
357,-12
358,-12
359,-12
360,-12
361,-12
362,-12
363,-12
364,-12
365,-12
366,-12
367,-12
368,-12
369,-12
370,-12
371,-12
372,-12
373,-12
374,-12
375,-12
376,-12
377,-12
378,-12
379,-12
380,-12
381,-12
382,-12
383,-12
384,-12
385,-12
386,-12
387,-12
388,-12
389,-12
390,-12
391,-12
392,-12
393,-12
394,-12
395,-12
396,-12
397,-12
398,-12
399,-12
400,-12
401,-12
402,-12
403,-12
404,-12
405,-12
406,-12
407,-12
408,-12
409,-12
410,-12
411,-12
412,-12
413,-12
414,-12
415,-12
416,-12
417,-12
418,-12
419,-12
420,-12
421,-12
422,-12
