Experiment: ,"depth_hill, 3d, sequence 8, it: 1000"
22.265429996996758,-27
22.734323228365607,-27
22.81023164239901,-28
22.206583393985753,-22
24.894749501430454,-23
23.3347290454641,-24
25.452762291764373,-22
25.85170316893442,-30
22.70284094281297,-17
22.2222194455737,-24
23.116469596516794,-24
21.56538479216715,-24
23.348801447268556,-22
23.759456310402356,-26
24.629789402613483,-23
23.151854759068954,-29
23.51138353999778,-21
21.34838197500926,-21
22.6542584689887,-28
21.901080855062958,-21
