iterations,mean
0,0
1,0
2,0
3,0
4,0
5,-0,2
6,-0,2
7,-0,2
8,-0,2
9,-0,2
10,-0,4
11,-0,4
12,-0,4
13,-0,6
14,-0,6
15,-0,6
16,-0,6
17,-0,6
18,-0,6
19,-0,6
20,-0,6
21,-0,6
22,-0,8
23,-0,8
24,-1,8
25,-1,8
26,-1,8
27,-1,8
28,-1,8
29,-1,8
30,-1,8
31,-1,8
32,-1,8
33,-2
34,-2
35,-2
36,-2,2
37,-2,2
38,-2,2
39,-2,2
40,-2,4
41,-2,4
42,-2,4
43,-2,4
44,-2,6
45,-2,6
46,-3,6
47,-3,6
48,-3,6
49,-3,6
50,-3,6
51,-3,6
52,-3,6
53,-3,8
54,-3,8
55,-3,8
56,-4
57,-4
58,-4
59,-4,2
60,-4,2
61,-4,2
62,-4,2
63,-4,2
64,-6
65,-6
66,-6
67,-6
68,-6
69,-6
70,-6
71,-6
72,-6,6
73,-6,8
74,-7,2
75,-7,2
76,-7,2
77,-7,2
78,-7,2
79,-7,2
80,-7,2
81,-7,2
82,-7,2
83,-7,2
84,-7,4
85,-7,6
86,-7,6
87,-7,6
88,-7,6
89,-7,6
90,-7,6
91,-7,6
92,-7,6
93,-8,6
94,-8,6
95,-8,6
96,-8,6
97,-9
98,-9,2
99,-9,2
100,-9,8
101,-11
102,-11
103,-11
104,-11
105,-11
106,-11
107,-11,2
108,-11,8
109,-11,8
110,-11,8
111,-11,8
112,-11,8
113,-11,8
114,-11,8
115,-11,8
116,-11,8
117,-11,8
118,-12
119,-12
120,-12
121,-12
122,-12,2
123,-12,6
124,-12,6
125,-13
126,-13
127,-13
128,-13,2
129,-13,2
130,-14
131,-14
132,-14,4
133,-14,4
134,-14,4
135,-14,4
136,-14,4
137,-15,2
138,-16,4
139,-16,6
140,-16,6
141,-16,6
142,-17,2
143,-17,4
144,-17,4
145,-17,4
146,-17,4
147,-17,4
148,-17,4
149,-17,6
150,-17,8
151,-17,8
152,-17,8
153,-17,8
154,-17,8
155,-17,8
156,-18,2
157,-18,2
158,-18,4
159,-18,4
160,-18,8
161,-18,8
162,-18,8
163,-18,8
164,-18,8
165,-19
166,-19
167,-19
168,-19
169,-19
170,-19,2
171,-19,2
172,-19,2
173,-19,8
