iterations,mean
0,-3,2
1,-5,4
2,-7,4
3,-7,4
4,-7,8
5,-7,8
6,-7,8
7,-8,6
8,-9
9,-9
10,-9
11,-9
12,-9
13,-9
14,-9
15,-9,2
16,-9,2
17,-9,2
18,-9,2
19,-9,2
20,-9,2
21,-9,4
22,-9,4
23,-9,4
24,-9,4
25,-9,4
26,-9,4
27,-9,4
28,-9,6
29,-9,6
30,-9,8
31,-9,8
32,-10
33,-10
34,-10
35,-10
36,-10
37,-10
38,-10
39,-10
40,-10
41,-10
42,-10,2
43,-10,2
44,-10,4
45,-10,4
46,-10,4
47,-10,4
48,-10,6
49,-10,6
50,-10,6
51,-10,6
52,-10,6
53,-10,8
54,-11
55,-11
56,-11
57,-11,2
58,-11,2
59,-11,2
60,-11,2
61,-11,6
62,-13,2
63,-13,2
64,-13,2
65,-13,2
66,-13,2
67,-13,2
68,-13,2
69,-13,2
70,-13,4
71,-13,4
72,-13,6
73,-13,6
74,-13,6
75,-13,6
76,-13,6
77,-13,6
78,-13,6
79,-13,6
80,-13,8
81,-13,8
82,-14
83,-14
84,-14
85,-14
86,-14
87,-14
88,-14
89,-14
90,-14
91,-14
92,-14
93,-14
94,-14,2
95,-14,2
96,-14,2
97,-14,4
98,-14,4
99,-14,4
100,-14,4
101,-14,6
102,-14,6
103,-14,6
104,-14,6
105,-14,6
106,-14,6
107,-14,6
108,-14,6
109,-14,6
110,-14,6
111,-14,6
112,-14,6
113,-14,6
114,-14,6
115,-14,6
116,-14,6
117,-14,6
118,-14,6
119,-14,6
120,-14,8
121,-14,8
122,-14,8
123,-14,8
124,-14,8
125,-14,8
126,-14,8
127,-14,8
128,-14,8
129,-15
130,-15
131,-15
132,-15
133,-15
134,-15
135,-15
136,-15
137,-15
138,-15
139,-15
140,-15
141,-15
142,-15
143,-15
144,-15
145,-15
146,-15
147,-15
148,-15
149,-15
150,-15
151,-15
152,-15
153,-15
154,-15
155,-15
156,-15
157,-15
158,-15
159,-15
160,-15
161,-15
162,-15
163,-15
164,-15
165,-15
166,-15
167,-15
168,-15
169,-15
170,-15
171,-15
172,-15
173,-15
174,-15
175,-15
176,-15
177,-15
178,-15
179,-15
180,-15
181,-15
182,-15
183,-15
184,-15
185,-15
186,-15
187,-15
188,-15
189,-15
190,-15
191,-15
192,-15
193,-15,2
194,-15,2
195,-15,2
196,-15,2
197,-15,2
198,-15,2
199,-15,2
200,-15,2
201,-15,2
202,-15,2
203,-15,2
204,-15,2
205,-15,2
206,-15,2
207,-15,2
208,-15,2
209,-15,2
210,-15,2
211,-15,2
212,-15,4
213,-15,4
214,-15,4
215,-15,4
216,-15,4
217,-15,4
218,-15,4
219,-15,4
220,-15,6
221,-15,6
222,-15,6
223,-15,8
224,-15,8
225,-15,8
226,-15,8
227,-15,8
228,-15,8
229,-15,8
230,-15,8
231,-16
232,-16
233,-16
234,-16
235,-16
