Experiment: changes in hillclimber:,"verbindingnummber, aantal_changed (randomhill, 3d, sequence: 4, it: 1000, in totaal 40 keer"
0,37.4
1,26.175
2,17.05
3,23.225
4,19.35
5,28.175
6,18.45
7,23.175
8,15.825
9,17.3
10,16.175
11,20.25
12,15.7
13,19.5
14,17.075
15,18.425
16,16.85
17,15.5
18,17.025
19,16.9
20,23.875
21,16.75
22,18.275
23,19.9
24,18.825
25,20.45
26,19.95
27,18.875
28,20.7
29,19.9
30,20.425
31,18.3
32,22.075
33,19.025
34,16.6
35,20.15
36,20.075
37,20.275
38,17.225
39,21.55
40,17.075
41,21.7
42,23.4
43,21.725
44,22.0
45,22.3
46,19.8
47,26.2
48,34.075
49,0.0
