Experiment: scoreverloop Hillclimber,"depthhillcimber, 3d, sequence 4, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
0,-3.0,0.0
1,-4.325,0.425
2,-5.35,0.8
3,-6.15,0.8
4,-6.85,0.625
5,-7.15,1.075
6,-7.45,1.15
7,-7.85,0.675
8,-8.0,1.425
9,-8.05,1.075
10,-8.3,0.8
11,-8.575,1.15
12,-8.6,1.25
13,-8.625,0.7
14,-8.775,0.9
15,-8.875,1.025
16,-9.0,1.0
17,-9.1,0.85
18,-9.25,0.8
19,-9.275,0.725
20,-9.325,1.325
21,-9.45,0.575
22,-9.5,0.85
23,-9.6,1.175
24,-9.8,0.9
25,-9.825,0.925
26,-9.925,0.925
27,-9.95,1.575
28,-10.025,1.0
29,-10.15,1.0
30,-10.275,1.15
31,-10.275,1.175
32,-10.3,0.725
33,-10.3,1.225
34,-10.3,1.25
35,-10.3,0.95
36,-10.35,0.5
37,-10.45,1.575
38,-10.45,1.25
39,-10.45,1.05
40,-10.45,1.125
41,-10.45,0.9
42,-10.525,1.175
43,-10.525,0.875
44,-10.525,1.175
45,-10.525,1.525
46,-10.525,0.7
47,-10.575,1.35
48,-10.575,1.025
49,-10.6,1.2
50,-10.6,1.05
51,-10.625,0.85
52,-10.625,1.3
53,-10.65,1.325
54,-10.65,0.45
55,-10.7,0.85
56,-10.7,0.975
57,-10.8,0.9
58,-10.85,1.525
59,-10.9,1.05
60,-10.9,1.075
61,-10.9,1.35
62,-10.95,1.4
63,-11.0,0.9
64,-11.175,1.075
65,-11.175,1.15
66,-11.175,1.175
67,-11.2,1.025
68,-11.2,0.75
69,-11.225,1.025
70,-11.275,1.4
71,-11.3,1.05
72,-11.35,1.425
73,-11.4,1.5
74,-11.4,1.15
75,-11.425,1.0
76,-11.5,1.05
77,-11.575,1.175
78,-11.6,0.8
79,-11.6,1.1
80,-11.625,1.925
81,-11.625,1.175
82,-11.725,1.175
83,-11.75,1.225
84,-11.75,1.425
85,-11.75,1.35
86,-11.75,0.975
87,-11.8,1.15
88,-11.8,1.225
89,-11.825,1.475
90,-11.825,1.0
91,-11.85,1.6
92,-11.85,1.05
93,-11.85,0.925
94,-11.95,1.45
95,-11.95,1.3
96,-11.95,1.375
97,-12.0,1.425
98,-12.0,1.05
99,-12.025,1.2
100,-12.05,1.5
101,-12.075,0.825
102,-12.1,1.075
103,-12.1,1.3
104,-12.1,1.2
105,-12.15,1.625
106,-12.15,1.225
107,-12.2,1.125
108,-12.2,1.4
109,-12.2,1.225
110,-12.2,1.525
111,-12.2,1.25
112,-12.2,1.15
113,-12.2,1.325
114,-12.25,0.925
115,-12.25,1.375
116,-12.25,1.5
117,-12.325,1.275
118,-12.325,0.925
119,-12.4,1.325
120,-12.425,1.575
121,-12.425,0.625
122,-12.425,1.0
123,-12.45,1.025
124,-12.475,0.9
125,-12.475,1.125
126,-12.55,1.225
127,-12.575,1.325
128,-12.575,1.275
129,-12.6,1.425
130,-12.675,1.375
131,-12.7,1.35
132,-12.7,1.05
133,-12.7,1.575
134,-12.7,1.125
