Experiment: scoreverloop Hillclimber,"straighthillcimber, 3d, sequence 7, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
0,0.0,0.0
1,0.0,0.15
2,0.0,0.225
3,0.0,0.225
4,0.0,0.375
5,0.0,0.2
6,0.0,0.275
7,-0.025,0.275
8,-0.05,0.45
9,-0.1,0.375
10,-0.175,0.325
11,-0.25,0.4
12,-0.3,0.225
13,-0.4,0.375
14,-0.4,0.325
15,-0.475,0.275
16,-0.6,0.375
17,-0.7,0.45
18,-0.775,0.375
19,-0.9,0.4
20,-0.925,0.925
21,-0.975,0.45
22,-1.175,0.425
23,-1.2,0.3
24,-1.4,0.375
25,-1.45,0.225
26,-1.525,0.35
27,-1.6,0.425
28,-1.6,0.55
29,-1.6,0.75
30,-1.725,0.525
31,-1.925,0.775
32,-1.925,0.425
33,-2.0,0.725
34,-2.125,0.55
35,-2.325,0.4
36,-2.375,0.5
37,-2.5,0.4
38,-2.525,0.8
39,-2.575,0.45
40,-2.6,0.8
41,-2.75,0.65
42,-2.775,0.775
43,-2.975,0.725
44,-3.05,0.65
45,-3.125,0.675
46,-3.2,0.825
47,-3.325,0.575
48,-3.325,0.7
49,-3.475,0.625
50,-3.625,0.575
51,-3.65,0.775
52,-3.675,0.475
53,-3.8,0.975
54,-3.975,0.825
55,-4.175,0.775
56,-4.35,0.825
57,-4.55,0.5
58,-4.675,0.575
59,-4.925,0.9
60,-5.15,0.625
61,-5.25,0.625
62,-5.425,0.55
63,-5.45,0.875
64,-5.725,1.1
65,-5.8,0.575
66,-5.825,0.55
67,-5.875,0.875
68,-5.95,0.675
69,-6.075,0.7
70,-6.225,1.3
71,-6.275,0.95
72,-6.425,0.85
73,-6.775,1.1
74,-6.825,1.0
75,-6.875,0.65
76,-6.9,0.8
77,-7.075,0.875
78,-7.125,0.85
79,-7.2,0.575
80,-7.3,0.725
81,-7.6,0.95
82,-7.675,0.675
83,-7.85,0.675
84,-7.925,0.6
85,-8.05,0.65
86,-8.175,0.775
87,-8.25,0.85
88,-8.325,0.6
89,-8.45,0.625
90,-8.85,0.875
91,-8.925,1.15
92,-9.175,1.05
93,-9.175,0.95
94,-9.275,0.975
95,-9.375,0.625
96,-9.475,0.9
97,-9.525,0.675
98,-9.8,0.875
99,-9.85,0.725
100,-9.925,0.825
101,-10.0,1.125
102,-10.1,0.8
103,-10.275,1.0
104,-10.3,1.05
105,-10.35,0.825
106,-10.525,1.25
107,-10.825,1.3
108,-10.85,1.025
109,-10.9,0.8
110,-10.9,1.1
111,-10.9,0.875
112,-10.975,1.15
113,-11.0,0.875
114,-11.2,1.025
115,-11.25,1.45
116,-11.375,0.725
117,-11.375,0.9
118,-11.425,0.9
119,-11.55,1.0
120,-11.575,1.15
121,-11.6,0.9
122,-11.675,0.825
123,-11.75,0.95
124,-11.975,0.975
125,-12.05,1.175
126,-12.25,0.725
127,-12.275,1.05
128,-12.4,1.025
129,-12.525,0.675
130,-12.575,1.225
131,-12.625,0.65
132,-12.725,1.325
133,-12.925,0.825
134,-12.925,0.975
135,-12.95,0.925
136,-13.025,0.675
137,-13.05,0.85
138,-13.15,1.025
139,-13.225,0.975
140,-13.325,0.9
141,-13.4,0.85
142,-13.55,1.075
143,-13.55,1.15
144,-13.6,0.975
145,-13.65,0.925
146,-13.725,1.2
147,-13.925,1.725
148,-14.075,1.15
149,-14.15,1.1
150,-14.225,1.775
151,-14.3,1.3
152,-14.375,1.075
153,-14.375,1.8
154,-14.55,1.275
155,-14.625,0.825
156,-14.675,1.575
157,-14.875,1.4
158,-14.975,1.175
159,-15.075,0.975
160,-15.1,0.9
161,-15.25,1.225
162,-15.325,1.15
163,-15.4,1.5
164,-15.525,1.025
165,-15.7,1.675
166,-15.775,1.5
167,-15.775,1.2
168,-15.875,1.075
169,-15.925,1.05
170,-15.975,1.45
171,-16.125,0.9
172,-16.175,1.775
173,-16.475,0.8
174,-16.5,1.075
175,-16.525,1.125
176,-16.525,1.55
177,-16.6,1.525
178,-16.7,1.15
179,-16.825,0.875
180,-16.85,1.45
181,-16.9,1.25
182,-17.075,1.825
183,-17.15,1.125
184,-17.175,1.35
185,-17.2,1.3
186,-17.3,0.95
187,-17.3,1.375
188,-17.3,1.425
189,-17.425,1.525
190,-17.55,1.3
191,-17.625,1.25
192,-17.7,1.125
193,-17.775,1.225
194,-17.925,1.4
195,-17.975,1.05
196,-18.0,1.5
197,-18.15,1.125
198,-18.15,1.2
199,-18.25,1.25
200,-18.25,0.85
201,-18.25,0.9
202,-18.25,1.575
203,-18.325,1.925
204,-18.35,1.25
205,-18.475,0.975
206,-18.475,1.425
207,-18.5,1.75
208,-18.5,0.95
209,-18.55,1.4
210,-18.55,1.675
211,-18.575,1.075
212,-18.85,1.0
213,-18.975,1.725
214,-18.975,1.225
215,-19.05,1.225
216,-19.075,1.2
217,-19.075,1.45
218,-19.125,1.925
219,-19.15,1.55
220,-19.15,1.25
221,-19.225,1.225
222,-19.3,1.1
223,-19.325,1.575
224,-19.325,1.4
225,-19.45,1.425
226,-19.45,1.625
227,-19.475,1.175
228,-19.475,1.7
229,-19.625,1.625
230,-19.625,2.15
231,-19.7,1.425
232,-19.725,1.575
233,-19.725,1.35
234,-19.725,1.725
235,-19.725,1.4
236,-19.725,1.15
237,-19.725,1.55
238,-19.75,1.05
239,-19.775,1.425
240,-19.8,1.9
241,-19.85,1.3
242,-19.925,1.35
243,-19.925,2.15
244,-19.925,1.35
245,-19.95,1.8
246,-19.975,1.5
247,-20.0,1.2
248,-20.025,1.075
249,-20.05,1.85
250,-20.05,1.275
251,-20.075,1.775
252,-20.075,1.175
253,-20.1,1.8
254,-20.1,1.675
255,-20.125,1.5
256,-20.15,1.175
257,-20.225,1.475
258,-20.3,1.75
259,-20.3,1.25
260,-20.375,1.325
261,-20.425,1.175
262,-20.425,1.775
263,-20.475,1.125
264,-20.55,1.55
265,-20.55,1.65
266,-20.55,1.9
267,-20.575,1.15
268,-20.6,1.525
269,-20.675,1.1
270,-20.675,1.45
271,-20.775,2.125
272,-20.875,1.35
273,-20.925,1.475
274,-21.1,1.9
275,-21.1,1.55
276,-21.1,2.0
277,-21.2,1.75
278,-21.2,2.1
279,-21.2,1.6
280,-21.225,1.875
281,-21.225,1.875
282,-21.325,1.65
283,-21.325,1.95
284,-21.325,1.275
285,-21.325,1.7
286,-21.35,0.925
287,-21.35,3.15
288,-21.35,1.825
289,-21.35,1.575
290,-21.35,2.65
291,-21.35,1.4
292,-21.5,1.875
293,-21.575,1.225
294,-21.6,1.35
295,-21.625,1.425
296,-21.65,1.15
297,-21.75,1.925
298,-21.75,1.35
299,-21.75,2.025
300,-21.8,1.225
301,-21.85,1.975
302,-21.875,1.4
303,-21.875,1.575
304,-21.875,1.85
305,-21.875,1.725
306,-21.95,2.5
307,-21.975,1.8
308,-22.0,1.675
309,-22.0,1.25
310,-22.0,1.45
311,-22.025,1.175
312,-22.025,1.3
313,-22.05,2.075
314,-22.05,1.825
315,-22.075,1.975
316,-22.125,1.625
317,-22.125,1.3
318,-22.2,1.5
319,-22.3,1.525
320,-22.375,1.65
321,-22.375,1.75
322,-22.4,1.875
323,-22.4,2.275
324,-22.4,2.025
325,-22.4,2.05
326,-22.4,1.65
327,-22.4,1.65
328,-22.45,1.975
329,-22.45,1.825
330,-22.475,1.475
331,-22.475,2.05
332,-22.5,1.425
333,-22.5,1.925
334,-22.55,1.825
335,-22.55,1.275
336,-22.55,1.8
337,-22.55,2.15
338,-22.55,1.5
339,-22.65,1.725
340,-22.65,1.325
341,-22.725,2.225
342,-22.75,1.425
343,-22.75,1.925
344,-22.75,1.65
345,-22.75,1.975
346,-22.75,1.3
347,-22.75,0.9
348,-22.75,1.6
349,-22.75,1.85
350,-22.8,2.15
351,-22.8,2.05
352,-22.8,1.6
353,-22.8,1.95
354,-22.825,1.975
355,-22.85,0.85
356,-22.85,1.825
357,-22.85,1.575
358,-22.85,2.0
359,-22.85,1.85
360,-22.85,1.3
361,-22.85,2.0
362,-22.85,2.125
363,-22.85,1.275
364,-22.875,1.4
365,-22.875,1.65
366,-22.875,2.25
367,-22.9,1.775
368,-22.9,2.05
369,-22.9,1.75
370,-23.1,1.75
371,-23.1,1.475
372,-23.1,1.775
373,-23.1,1.825
374,-23.1,1.55
375,-23.1,1.4
376,-23.1,1.525
377,-23.1,2.725
378,-23.125,1.575
379,-23.125,1.9
380,-23.125,1.3
381,-23.125,2.475
382,-23.15,1.925
383,-23.15,1.475
384,-23.175,2.425
385,-23.175,1.625
386,-23.175,1.575
387,-23.175,1.625
388,-23.175,1.675
389,-23.175,1.375
390,-23.225,1.25
391,-23.25,1.1
392,-23.25,2.15
