Experiment: scoreverloop Hillclimber,"randomhillcimber, 3d, sequence 7, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
0,-5.65,0.0
1,-5.725,0.925
2,-5.9,0.8
3,-6.175,1.2
4,-6.55,1.225
5,-6.65,1.025
6,-6.8,1.85
7,-6.975,1.3
8,-7.2,1.325
9,-7.425,1.225
10,-7.525,1.3
11,-7.8,1.025
12,-7.9,1.6
13,-7.925,1.2
14,-8.05,1.4
15,-8.3,1.2
16,-8.425,1.55
17,-8.65,1.8
18,-8.725,0.6
19,-8.8,1.525
20,-8.875,1.575
21,-8.925,1.475
22,-9.0,1.125
23,-9.05,0.9
24,-9.275,1.075
25,-9.325,1.475
26,-9.5,1.75
27,-9.65,1.125
28,-9.8,0.55
29,-9.85,1.75
30,-10.0,1.15
31,-10.125,1.325
32,-10.225,1.575
33,-10.425,0.975
34,-10.475,1.725
35,-10.55,1.725
36,-10.6,1.275
37,-10.675,1.4
38,-10.775,1.525
39,-10.8,1.5
40,-10.925,1.125
41,-11.025,0.85
42,-11.125,0.6
43,-11.225,1.35
44,-11.425,0.95
45,-11.75,1.625
46,-11.875,1.325
47,-11.875,1.475
48,-11.95,1.775
49,-12.1,1.6
50,-12.3,1.575
51,-12.35,1.725
52,-12.4,1.675
53,-12.425,1.475
54,-12.525,1.775
55,-12.575,1.45
56,-12.775,1.2
57,-12.775,1.35
58,-12.875,1.9
59,-12.975,1.7
60,-13.025,2.175
61,-13.05,1.575
62,-13.2,1.625
63,-13.325,1.75
64,-13.375,1.3
65,-13.525,1.9
66,-13.55,1.75
67,-13.55,2.175
68,-13.7,2.15
69,-13.75,2.0
70,-13.775,2.25
71,-13.775,1.425
72,-13.85,1.475
73,-13.9,1.65
74,-14.0,1.4
75,-14.1,1.5
76,-14.15,2.4
77,-14.175,1.6
78,-14.25,1.55
79,-14.275,2.025
80,-14.5,1.65
81,-14.55,2.125
82,-14.6,1.3
83,-14.6,1.475
84,-14.6,1.7
85,-14.65,1.85
86,-14.875,1.55
87,-14.875,1.475
88,-14.875,1.6
89,-14.875,1.375
90,-14.875,1.125
91,-15.025,2.125
92,-15.075,1.8
93,-15.2,1.6
94,-15.275,1.325
95,-15.275,1.35
96,-15.325,1.375
97,-15.35,2.3
98,-15.375,2.4
99,-15.45,1.675
100,-15.5,1.3
101,-15.55,1.325
102,-15.6,2.775
103,-15.625,1.425
104,-15.625,1.7
105,-15.65,1.675
106,-15.675,1.65
107,-15.725,1.55
108,-15.8,1.675
109,-15.875,1.65
110,-15.875,1.8
111,-15.9,1.45
112,-16.025,1.75
113,-16.05,1.45
114,-16.225,1.8
115,-16.275,1.775
116,-16.45,1.55
117,-16.45,2.05
118,-16.5,2.4
119,-16.5,1.825
120,-16.525,2.075
121,-16.7,1.7
122,-16.75,1.775
123,-16.75,2.05
124,-16.8,2.175
