Experiment: scoreverloop Hillclimber,"depthhillcimber, 3d, sequence 1, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
0,-4.0,0.0
1,-4.025,0.625
2,-4.25,0.7
3,-4.3,0.775
4,-4.4,0.625
5,-4.475,0.725
6,-4.5,0.9
7,-4.575,0.475
8,-4.675,0.75
9,-4.725,0.875
10,-4.725,0.95
11,-4.75,0.9
12,-4.8,0.8
13,-4.85,0.95
14,-5.0,0.525
15,-5.025,0.8
16,-5.025,0.65
17,-5.15,1.0
18,-5.2,0.6
19,-5.3,0.75
20,-5.4,0.925
21,-5.425,0.8
22,-5.575,0.85
23,-5.575,1.325
24,-5.675,0.7
25,-5.7,1.15
26,-5.75,1.25
27,-5.75,0.625
28,-5.75,1.125
29,-5.75,0.85
30,-5.75,0.8
31,-5.75,0.9
32,-5.775,0.95
33,-5.775,1.075
34,-5.8,0.925
35,-5.8,0.975
36,-5.8,0.95
37,-5.8,0.875
38,-5.8,0.925
39,-5.8,0.8
40,-5.8,1.275
41,-5.825,0.925
42,-5.85,1.0
43,-5.85,0.85
44,-5.875,1.1
45,-5.875,0.675
46,-5.9,0.95
47,-5.925,0.8
48,-5.95,1.45
49,-5.975,0.8
50,-5.975,0.925
51,-6.0,1.0
52,-6.0,1.075
53,-6.0,1.2
54,-6.025,1.25
55,-6.025,1.05
56,-6.025,1.1
57,-6.025,0.775
58,-6.025,0.875
59,-6.025,0.975
60,-6.025,0.725
61,-6.025,1.2
62,-6.025,0.975
63,-6.05,0.875
64,-6.05,0.75
65,-6.05,1.075
66,-6.05,0.775
67,-6.05,0.925
68,-6.05,0.9
69,-6.05,0.925
70,-6.075,1.1
71,-6.075,0.95
72,-6.075,0.7
73,-6.075,1.2
74,-6.075,0.825
75,-6.075,0.925
76,-6.075,0.65
77,-6.1,0.8
78,-6.1,1.0
79,-6.1,0.8
80,-6.1,0.9
81,-6.1,0.75
82,-6.1,0.85
83,-6.1,0.7
84,-6.1,0.7
85,-6.125,1.15
86,-6.15,1.25
87,-6.15,1.125
88,-6.175,0.825
89,-6.175,0.85
90,-6.175,0.925
91,-6.225,1.05
92,-6.225,1.15
93,-6.225,0.775
94,-6.225,0.775
95,-6.225,0.8
96,-6.225,1.35
97,-6.225,1.2
98,-6.225,1.15
99,-6.225,1.45
100,-6.225,1.125
101,-6.225,1.15
102,-6.25,0.775
103,-6.25,0.65
104,-6.25,0.975
105,-6.25,1.175
106,-6.25,0.975
107,-6.25,1.0
108,-6.25,0.95
109,-6.25,1.05
110,-6.25,0.975
111,-6.25,1.025
112,-6.25,0.875
113,-6.25,1.15
114,-6.25,0.775
115,-6.25,0.95
116,-6.25,0.8
117,-6.25,0.325
118,-6.25,0.875
119,-6.25,0.925
120,-6.25,1.25
121,-6.25,1.0
122,-6.25,1.075
123,-6.25,1.025
124,-6.25,1.225
125,-6.25,0.8
126,-6.25,0.825
127,-6.25,0.875
128,-6.25,0.8
129,-6.25,0.95
130,-6.25,1.125
131,-6.25,0.625
132,-6.25,0.75
133,-6.25,0.65
134,-6.25,0.925
135,-6.25,1.025
136,-6.275,0.825
137,-6.275,0.875
138,-6.275,0.975
139,-6.275,0.7
140,-6.275,0.65
141,-6.275,1.2
142,-6.275,1.3
143,-6.3,1.475
144,-6.3,0.9
145,-6.3,1.0
146,-6.3,0.525
147,-6.3,0.85
148,-6.3,0.775
149,-6.3,0.875
150,-6.3,0.875
151,-6.3,0.75
152,-6.3,1.2
153,-6.325,1.225
154,-6.325,0.8
155,-6.325,0.925
156,-6.325,1.0
157,-6.325,0.775
158,-6.325,0.925
159,-6.325,0.925
160,-6.325,1.175
161,-6.325,0.775
162,-6.325,0.975
163,-6.325,0.95
164,-6.325,0.65
165,-6.325,0.825
166,-6.325,1.1
167,-6.325,1.175
168,-6.325,1.2
169,-6.325,0.725
170,-6.325,0.85
171,-6.325,1.125
172,-6.325,1.25
173,-6.325,1.125
174,-6.325,0.725
175,-6.325,0.775
176,-6.325,0.925
177,-6.325,0.725
178,-6.325,1.05
179,-6.325,1.15
180,-6.325,1.025
181,-6.325,1.175
182,-6.35,1.325
183,-6.35,0.975
184,-6.35,1.025
185,-6.375,0.975
186,-6.375,1.275
187,-6.375,0.65
188,-6.375,1.575
189,-6.375,0.7
190,-6.375,1.125
191,-6.375,1.025
192,-6.375,0.625
193,-6.375,1.425
194,-6.375,0.7
195,-6.375,0.725
196,-6.375,1.1
197,-6.375,1.15
198,-6.375,0.975
199,-6.375,1.0
200,-6.375,1.1
201,-6.375,1.0
202,-6.375,1.025
203,-6.375,1.225
204,-6.375,1.2
205,-6.375,1.475
206,-6.4,0.925
207,-6.4,1.1
208,-6.4,1.225
209,-6.4,0.875
210,-6.4,1.2
211,-6.4,0.9
212,-6.4,0.975
213,-6.4,1.025
214,-6.4,1.05
215,-6.4,0.675
216,-6.4,0.9
217,-6.4,0.95
218,-6.4,1.125
219,-6.4,0.85
220,-6.4,1.15
221,-6.4,1.175
222,-6.4,1.0
223,-6.4,0.75
224,-6.4,0.975
225,-6.4,0.7
226,-6.4,0.9
227,-6.4,0.325
228,-6.4,1.1
229,-6.4,1.25
230,-6.4,1.225
231,-6.4,0.85
232,-6.4,1.1
233,-6.4,1.275
234,-6.4,1.175
235,-6.4,0.85
236,-6.4,0.75
237,-6.4,0.725
238,-6.4,0.975
239,-6.4,0.85
240,-6.4,0.975
241,-6.4,0.825
242,-6.4,1.075
243,-6.4,1.175
244,-6.4,1.175
245,-6.4,1.025
246,-6.4,0.55
247,-6.4,0.925
248,-6.4,0.725
249,-6.4,1.2
250,-6.4,1.275
