Experiment: scoreverloop Hillclimber,"straighthillcimber, 3d, sequence 4, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
0,0.0,0.0
1,0.0,0.275
2,0.0,0.2
3,0.0,0.35
4,0.0,0.275
5,0.0,0.15
6,0.0,0.425
7,0.0,0.4
8,0.0,0.3
9,0.0,0.425
10,0.0,0.3
11,-0.05,0.375
12,-0.075,0.4
13,-0.125,0.425
14,-0.175,0.55
15,-0.225,0.45
16,-0.25,0.4
17,-0.3,0.275
18,-0.3,0.45
19,-0.3,0.225
20,-0.325,0.425
21,-0.325,0.175
22,-0.35,0.55
23,-0.375,0.2
24,-0.475,0.45
25,-0.5,0.325
26,-0.525,0.575
27,-0.55,0.45
28,-0.575,0.675
29,-0.6,0.3
30,-0.65,0.625
31,-0.7,0.325
32,-0.775,0.375
33,-0.85,0.3
34,-0.925,0.575
35,-1.0,0.525
36,-1.05,0.425
37,-1.125,0.5
38,-1.275,0.575
39,-1.325,0.625
40,-1.4,0.525
41,-1.525,0.5
42,-1.575,0.45
43,-1.575,0.6
44,-1.65,0.65
45,-1.75,0.675
46,-1.85,0.925
47,-1.85,0.575
48,-1.875,0.675
49,-1.925,0.425
50,-2.0,0.45
51,-2.1,0.6
52,-2.1,0.725
53,-2.225,0.525
54,-2.375,0.475
55,-2.45,0.675
56,-2.475,0.45
57,-2.55,0.325
58,-2.625,0.55
59,-2.65,0.725
60,-2.75,1.075
61,-2.8,0.45
62,-2.825,1.0
63,-3.0,0.825
64,-3.1,0.5
65,-3.125,0.525
66,-3.15,0.75
67,-3.175,0.8
68,-3.2,0.475
69,-3.275,0.875
70,-3.425,0.6
71,-3.525,1.1
72,-3.575,0.475
73,-3.575,0.525
74,-3.75,0.675
75,-3.875,1.0
76,-3.975,0.475
77,-4.025,0.6
78,-4.025,0.975
79,-4.1,0.975
80,-4.175,1.1
81,-4.3,0.75
82,-4.325,0.95
83,-4.375,0.9
84,-4.425,0.6
85,-4.475,1.175
86,-4.5,0.625
87,-4.625,0.8
88,-4.675,0.975
89,-4.75,0.825
90,-4.825,0.725
91,-4.875,1.1
92,-5.0,0.75
93,-5.0,0.925
94,-5.0,0.975
95,-5.05,0.725
96,-5.2,0.95
97,-5.35,0.825
98,-5.45,1.35
99,-5.5,0.925
100,-5.525,0.7
101,-5.6,1.05
102,-5.65,0.65
103,-5.75,0.8
104,-5.75,0.875
105,-5.85,1.175
106,-6.025,0.55
107,-6.15,0.975
108,-6.175,1.1
109,-6.225,1.25
110,-6.225,1.4
111,-6.35,1.0
112,-6.375,0.925
113,-6.475,0.7
114,-6.575,1.025
115,-6.65,0.65
116,-6.725,1.025
117,-6.8,1.5
118,-6.875,0.775
119,-6.925,0.675
120,-6.975,1.5
121,-7.0,1.225
122,-7.0,1.025
123,-7.025,1.3
124,-7.025,1.125
125,-7.075,0.775
126,-7.15,1.15
127,-7.175,0.8
128,-7.175,1.025
129,-7.25,1.025
130,-7.35,1.25
131,-7.4,1.15
132,-7.425,1.0
133,-7.45,1.1
134,-7.475,1.05
135,-7.5,1.225
136,-7.575,1.15
137,-7.775,0.725
138,-7.8,1.65
139,-7.8,1.525
140,-7.85,1.075
141,-7.9,1.025
142,-7.925,0.975
143,-8.0,0.9
144,-8.05,1.15
145,-8.125,2.175
146,-8.15,0.925
147,-8.175,1.225
148,-8.25,0.875
149,-8.275,0.625
150,-8.275,1.0
151,-8.325,1.5
152,-8.375,1.7
