Experiment: scoreverloop Hillclimber,"randomhillcimber, 3d, sequence 5, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
0,-2.8,0.0
1,-2.975,0.775
2,-3.1,1.075
3,-3.125,1.275
4,-3.4,0.85
5,-3.65,1.35
6,-3.675,1.125
7,-3.825,1.325
8,-4.25,0.65
9,-4.75,1.35
10,-4.8,1.6
11,-4.8,1.1
12,-4.875,1.275
13,-5.1,1.85
14,-5.175,0.775
15,-5.225,1.25
16,-5.275,1.2
17,-5.4,0.85
18,-5.5,0.875
19,-5.7,1.075
20,-5.8,1.675
21,-6.15,1.15
22,-6.2,1.7
23,-6.25,1.475
24,-6.4,0.95
25,-6.5,1.2
26,-6.65,1.55
27,-6.9,0.975
28,-6.925,1.475
29,-7.025,1.15
30,-7.2,1.15
31,-7.425,1.475
32,-7.625,1.025
33,-7.725,2.175
34,-7.725,1.775
35,-7.825,1.175
36,-7.925,1.525
37,-8.025,1.525
38,-8.125,1.2
39,-8.175,1.025
40,-8.225,1.05
41,-8.225,1.35
42,-8.25,1.075
43,-8.275,1.025
44,-8.425,1.225
45,-8.425,1.425
46,-8.5,1.7
47,-8.625,1.225
48,-8.7,1.625
49,-8.75,1.3
50,-8.775,1.15
51,-8.775,1.175
52,-8.825,1.3
53,-9.15,1.55
54,-9.2,1.275
55,-9.35,1.275
56,-9.375,1.1
57,-9.45,1.075
58,-9.7,1.375
59,-9.725,1.15
60,-9.725,1.65
61,-9.75,1.025
62,-9.775,1.225
63,-9.8,1.3
64,-9.875,1.25
65,-10.15,1.0
66,-10.225,1.475
67,-10.35,1.775
68,-10.4,1.25
69,-10.475,2.025
70,-10.5,1.1
71,-10.525,2.0
72,-10.625,1.125
73,-10.775,1.675
74,-10.825,1.525
75,-10.975,1.4
76,-10.975,1.625
77,-11.0,1.35
78,-11.0,0.85
79,-11.025,1.325
80,-11.05,2.125
81,-11.075,1.05
82,-11.125,1.375
83,-11.175,1.55
84,-11.2,1.6
85,-11.2,1.725
86,-11.225,1.775
87,-11.275,1.0
88,-11.375,1.3
89,-11.375,1.35
90,-11.375,1.575
91,-11.4,1.225
92,-11.5,1.425
93,-11.525,2.1
94,-11.6,1.8
95,-11.625,1.65
96,-11.625,1.375
97,-11.625,1.825
98,-11.725,1.825
99,-11.725,1.55
100,-11.85,1.55
101,-11.85,1.5
102,-11.975,2.3
103,-12.175,1.375
104,-12.2,1.55
105,-12.375,1.65
106,-12.375,2.175
107,-12.375,1.85
108,-12.4,1.7
109,-12.4,1.3
110,-12.475,1.1
111,-12.575,1.425
112,-12.75,1.225
113,-12.775,1.75
114,-12.9,1.3
115,-12.95,1.3
116,-12.95,1.35
117,-13.025,1.325
118,-13.025,1.35
119,-13.025,1.1
120,-13.025,1.1
121,-13.075,1.35
122,-13.125,1.075
123,-13.15,1.175
124,-13.15,1.425
125,-13.175,1.325
126,-13.175,2.45
127,-13.225,1.775
128,-13.225,1.3
129,-13.225,1.35
130,-13.3,1.325
131,-13.3,1.775
132,-13.425,1.375
133,-13.45,1.275
134,-13.45,1.65
135,-13.475,2.075
136,-13.575,1.35
137,-13.6,1.5
138,-13.6,1.75
139,-13.6,0.925
140,-13.625,1.925
141,-13.675,1.675
142,-13.675,1.5
143,-13.7,1.125
144,-13.75,1.45
145,-13.8,1.275
146,-13.85,1.3
147,-13.875,1.475
148,-13.875,1.575
149,-13.9,2.0
150,-13.9,1.125
151,-13.925,1.925
152,-13.975,1.775
153,-14.0,1.35
154,-14.15,1.5
155,-14.15,1.725
156,-14.15,1.65
157,-14.175,1.35
158,-14.175,2.2
159,-14.175,1.275
160,-14.2,1.325
161,-14.25,0.95
162,-14.25,2.075
163,-14.25,1.675
164,-14.35,1.475
165,-14.45,2.275
166,-14.45,1.85
167,-14.45,1.6
168,-14.475,1.25
169,-14.475,0.675
170,-14.475,1.5
171,-14.5,2.125
172,-14.5,1.225
173,-14.525,1.6
174,-14.575,1.5
175,-14.6,1.475
176,-14.6,1.875
177,-14.6,1.5
178,-14.65,1.4
179,-14.65,1.875
180,-14.65,1.35
181,-14.65,1.175
182,-14.65,1.4
183,-14.65,1.45
184,-14.675,1.05
185,-14.675,1.175
186,-14.675,2.0
187,-14.725,1.725
188,-14.75,1.35
189,-14.75,1.6
190,-14.75,1.85
191,-14.75,1.5
192,-14.75,2.325
193,-14.875,1.8
194,-14.875,1.975
195,-14.875,1.5
196,-14.875,1.275
197,-14.875,1.675
198,-14.875,1.55
199,-14.875,1.525
200,-14.9,1.75
201,-14.9,1.8
202,-14.9,1.8
203,-14.95,1.55
204,-14.975,1.7
205,-15.0,1.6
206,-15.025,1.525
207,-15.025,1.675
208,-15.025,1.35
209,-15.075,1.625
210,-15.075,1.25
211,-15.075,1.7
212,-15.075,1.325
213,-15.075,1.9
214,-15.075,1.1
215,-15.1,1.325
216,-15.225,2.0
217,-15.25,1.525
218,-15.25,1.7
219,-15.275,1.725
220,-15.275,1.4
221,-15.275,1.675
222,-15.3,1.35
223,-15.3,2.0
224,-15.3,1.1
225,-15.475,1.675
226,-15.475,1.3
227,-15.5,1.1
228,-15.525,1.6
229,-15.525,1.225
230,-15.525,1.175
231,-15.6,1.625
232,-15.6,1.225
233,-15.625,1.4
234,-15.775,1.625
235,-15.775,1.475
236,-15.775,1.55
237,-15.8,1.65
238,-15.825,1.325
239,-15.825,1.3
240,-15.825,1.55
241,-15.825,1.175
242,-15.825,2.05
243,-15.9,1.55
244,-15.9,1.575
245,-15.9,1.525
246,-15.9,1.775
247,-15.9,2.125
248,-15.9,2.575
249,-15.9,1.675
250,-15.925,1.375
251,-15.95,1.525
252,-15.95,1.775
253,-15.95,1.9
254,-15.95,1.55
255,-15.95,1.625
256,-15.95,1.85
257,-15.95,1.975
258,-15.95,1.25
259,-15.95,1.725
260,-16.0,1.5
261,-16.0,0.975
262,-16.0,1.825
263,-16.0,1.95
264,-16.0,1.225
265,-16.0,1.85
266,-16.0,1.3
267,-16.0,1.125
268,-16.05,1.5
269,-16.05,1.625
270,-16.05,1.525
271,-16.05,1.75
272,-16.05,2.075
273,-16.075,1.825
274,-16.2,1.75
275,-16.2,2.075
276,-16.2,1.9
277,-16.2,1.275
278,-16.225,1.875
279,-16.225,1.65
280,-16.225,1.85
281,-16.225,1.625
282,-16.25,2.525
283,-16.25,1.475
284,-16.25,1.2
285,-16.25,1.55
286,-16.25,1.35
287,-16.275,1.6
288,-16.275,1.25
289,-16.275,1.425
290,-16.325,1.7
291,-16.325,1.825
292,-16.325,2.025
293,-16.35,1.075
294,-16.35,1.275
295,-16.35,1.85
296,-16.35,1.575
297,-16.525,1.8
298,-16.525,1.625
299,-16.525,2.3
300,-16.525,1.625
301,-16.525,1.65
302,-16.525,2.1
303,-16.55,2.025
304,-16.55,2.2
305,-16.55,1.375
306,-16.55,1.875
307,-16.575,1.875
308,-16.575,1.3
309,-16.575,1.675
310,-16.575,2.15
311,-16.575,1.975
312,-16.575,1.875
313,-16.575,1.675
314,-16.575,1.05
315,-16.575,1.65
316,-16.575,1.75
317,-16.575,1.575
318,-16.575,1.175
319,-16.575,1.275
320,-16.575,1.375
321,-16.575,2.15
322,-16.625,1.775
323,-16.625,1.975
324,-16.625,2.125
325,-16.625,1.475
326,-16.625,1.8
327,-16.625,1.775
328,-16.625,1.875
329,-16.625,1.825
330,-16.625,1.825
331,-16.625,1.425
332,-16.625,1.575
333,-16.625,0.85
334,-16.625,1.6
335,-16.625,1.45
336,-16.625,1.125
337,-16.625,1.725
338,-16.625,1.925
339,-16.625,1.65
340,-16.625,2.25
341,-16.625,1.55
342,-16.625,1.4
343,-16.625,1.6
344,-16.625,1.775
345,-16.65,2.125
346,-16.65,1.675
347,-16.7,1.675
348,-16.7,1.775
349,-16.7,1.5
350,-16.825,2.25
351,-16.825,1.85
352,-16.825,1.75
353,-16.825,1.525
354,-16.825,1.5
355,-16.825,1.75
356,-16.825,1.525
357,-16.875,1.575
358,-16.875,0.975
359,-16.875,1.825
360,-16.875,1.55
361,-16.875,1.725
362,-16.875,2.075
363,-16.875,1.65
364,-16.875,2.2
365,-16.875,1.05
366,-16.875,2.025
367,-16.875,2.525
368,-16.875,1.15
369,-16.875,1.05
370,-16.875,1.6
371,-16.875,1.4
372,-16.875,1.725
373,-16.875,1.8
374,-16.875,2.0
375,-16.925,1.95
376,-16.925,1.25
377,-16.925,1.725
378,-16.925,1.925
379,-16.925,1.675
380,-16.925,2.25
381,-16.925,2.025
382,-16.925,1.0
383,-16.925,2.55
384,-16.925,1.875
385,-16.925,1.8
386,-16.925,1.3
387,-16.925,1.25
388,-16.925,1.325
389,-16.925,1.925
390,-16.925,1.875
391,-16.925,1.075
392,-16.925,1.625
393,-16.925,1.675
394,-16.925,2.25
395,-16.925,1.625
396,-16.925,2.6
397,-16.925,2.025
398,-16.925,1.375
399,-16.925,1.45
400,-16.925,2.0
401,-16.925,1.9
402,-16.925,1.875
403,-16.925,1.35
404,-16.925,1.875
405,-16.925,1.575
406,-16.925,2.475
407,-16.925,2.15
408,-16.925,2.175
409,-16.925,1.5
410,-16.925,1.925
411,-16.925,1.725
412,-16.925,2.0
413,-16.95,1.625
414,-16.95,1.6
415,-16.95,1.9
416,-16.95,1.575
417,-16.95,2.6
418,-16.95,1.225
419,-16.95,2.275
420,-16.95,1.65
421,-16.95,1.675
422,-16.95,1.975
423,-16.95,2.075
424,-16.95,1.275
425,-16.95,2.575
426,-16.95,1.55
427,-16.95,2.05
428,-16.95,2.225
429,-16.95,2.65
430,-16.95,2.275
431,-16.95,1.5
