Experiment: cooling schedule exponentieel 1,"straight simulatedannealing, 2d, sequence 4, it: 10000, gemiddelde van 40 keer, formule: T_current = T_begin * math.pow((T_end / T_begin), ((current_iteration * 1.5 ) / total_iterations))"
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,-0.025
6,-0.05
7,-0.05
8,-0.05
9,-0.05
10,-0.05
11,-0.05
12,-0.05
13,-0.05
14,-0.05
15,-0.075
16,-0.075
17,-0.05
18,-0.1
19,-0.125
20,-0.1
21,-0.125
22,-0.15
23,-0.175
24,-0.15
25,-0.15
26,-0.175
27,-0.175
28,-0.275
29,-0.3
30,-0.3
31,-0.325
32,-0.35
33,-0.375
34,-0.375
35,-0.45
36,-0.475
37,-0.475
38,-0.5
39,-0.475
40,-0.525
41,-0.575
42,-0.575
43,-0.65
44,-0.675
45,-0.675
46,-0.725
47,-0.725
48,-0.75
49,-0.75
50,-0.75
51,-0.75
52,-0.8
53,-0.75
54,-0.725
55,-0.7
56,-0.675
57,-0.85
58,-0.825
59,-0.9
60,-0.875
61,-0.875
62,-0.95
63,-0.9
64,-1.1
65,-1.175
66,-1.125
67,-1.075
68,-1.025
69,-0.975
70,-0.975
71,-1.05
72,-1.05
73,-1.025
74,-0.95
75,-0.975
76,-0.95
77,-0.975
78,-0.975
79,-0.975
80,-1.075
81,-1.025
82,-1.05
83,-1.1
84,-1.05
85,-1.05
86,-1.025
87,-1.025
88,-1.15
89,-1.125
90,-1.25
91,-1.325
92,-1.425
93,-1.425
94,-1.375
95,-1.375
96,-1.3
97,-1.375
98,-1.4
99,-1.425
100,-1.475
101,-1.5
102,-1.55
103,-1.4
104,-1.4
105,-1.275
106,-1.3
107,-1.3
108,-1.35
109,-1.275
110,-1.475
111,-1.575
112,-1.525
113,-1.5
114,-1.55
115,-1.5
116,-1.575
117,-1.6
118,-1.525
119,-1.525
120,-1.525
121,-1.5
122,-1.55
123,-1.825
124,-1.65
125,-1.55
126,-1.5
127,-1.425
128,-1.6
129,-1.625
130,-1.475
131,-1.525
132,-1.525
133,-1.55
134,-1.575
135,-1.475
136,-1.4
137,-1.425
138,-1.425
139,-1.35
140,-1.275
141,-1.275
142,-1.325
143,-1.425
144,-1.325
145,-1.35
146,-1.475
147,-1.525
148,-1.5
149,-1.425
150,-1.375
151,-1.35
152,-1.35
153,-1.325
154,-1.325
155,-1.25
156,-1.225
157,-1.225
158,-1.15
159,-1.05
160,-1.025
161,-0.925
162,-1.025
163,-0.975
164,-0.875
165,-0.925
166,-0.875
167,-0.875
168,-0.9
169,-0.85
170,-0.9
171,-1.0
172,-1.1
173,-1.125
174,-1.25
175,-1.25
176,-1.25
177,-1.175
178,-1.15
179,-1.125
180,-1.125
181,-1.2
182,-1.075
183,-1.125
184,-1.1
185,-1.1
186,-1.15
187,-1.175
188,-1.175
189,-1.2
190,-1.225
191,-1.2
192,-1.175
193,-1.125
194,-1.2
195,-1.1
196,-1.1
197,-1.125
198,-1.05
199,-1.1
200,-1.075
201,-1.025
202,-1.025
203,-1.15
204,-1.175
205,-1.2
206,-1.15
207,-1.15
208,-1.125
209,-1.075
210,-1.175
211,-1.175
212,-1.275
213,-1.325
214,-1.25
215,-1.325
216,-1.225
217,-1.25
218,-1.2
219,-1.25
220,-1.25
221,-1.35
222,-1.375
223,-1.4
224,-1.45
225,-1.375
226,-1.325
227,-1.375
228,-1.375
229,-1.3
230,-1.3
231,-1.275
232,-1.25
233,-1.425
234,-1.325
235,-1.425
236,-1.4
237,-1.375
238,-1.35
239,-1.35
240,-1.225
241,-1.2
242,-1.275
243,-1.175
244,-1.2
245,-1.175
246,-1.0
247,-0.95
248,-1.1
249,-1.125
250,-1.075
251,-1.225
252,-1.325
253,-1.3
254,-1.3
255,-1.325
256,-1.375
257,-1.375
258,-1.45
259,-1.425
260,-1.45
261,-1.4
262,-1.35
263,-1.325
264,-1.35
265,-1.325
266,-1.475
267,-1.55
268,-1.6
269,-1.525
270,-1.525
271,-1.475
272,-1.6
273,-1.55
274,-1.425
275,-1.35
276,-1.275
277,-1.225
278,-1.35
279,-1.35
280,-1.35
281,-1.325
282,-1.3
283,-1.325
284,-1.325
285,-1.15
286,-1.075
287,-1.1
288,-1.125
289,-1.1
290,-0.975
291,-0.9
292,-1.0
293,-1.025
294,-1.025
295,-0.95
296,-1.0
297,-1.125
298,-1.125
299,-1.125
300,-1.225
301,-1.15
302,-1.175
303,-1.1
304,-1.15
305,-1.225
306,-1.25
307,-1.2
308,-1.175
309,-1.2
310,-1.325
311,-1.3
312,-1.325
313,-1.3
314,-1.225
315,-1.275
316,-1.275
317,-1.225
318,-1.3
319,-1.35
320,-1.35
321,-1.325
322,-1.45
323,-1.45
324,-1.425
325,-1.35
326,-1.3
327,-1.3
328,-1.35
329,-1.375
330,-1.3
331,-1.3
332,-1.3
333,-1.275
334,-1.45
335,-1.425
336,-1.375
337,-1.5
338,-1.4
339,-1.425
340,-1.525
341,-1.5
342,-1.475
343,-1.475
344,-1.5
345,-1.45
346,-1.525
347,-1.45
348,-1.5
349,-1.35
350,-1.375
351,-1.425
352,-1.375
353,-1.375
354,-1.3
355,-1.225
356,-1.25
357,-1.275
358,-1.325
359,-1.375
360,-1.3
361,-1.25
362,-1.25
363,-1.35
364,-1.45
365,-1.3
366,-1.325
367,-1.225
368,-1.25
369,-1.25
370,-1.3
371,-1.3
372,-1.35
373,-1.4
374,-1.3
375,-1.3
376,-1.3
377,-1.375
378,-1.375
379,-1.325
380,-1.325
381,-1.3
382,-1.35
383,-1.35
384,-1.325
385,-1.225
386,-1.225
387,-1.25
388,-1.325
389,-1.375
390,-1.4
391,-1.45
392,-1.4
393,-1.35
394,-1.45
395,-1.675
396,-1.55
397,-1.55
398,-1.575
399,-1.5
400,-1.425
401,-1.35
402,-1.35
403,-1.325
404,-1.4
405,-1.525
406,-1.5
407,-1.5
408,-1.475
409,-1.425
410,-1.6
411,-1.475
412,-1.7
413,-1.675
414,-1.675
415,-1.575
416,-1.65
417,-1.825
418,-1.825
419,-1.75
420,-1.725
421,-1.7
422,-1.7
423,-1.75
424,-1.625
425,-1.65
426,-1.675
427,-1.6
428,-1.5
429,-1.475
430,-1.575
431,-1.625
432,-1.425
433,-1.45
434,-1.475
435,-1.55
436,-1.425
437,-1.425
438,-1.475
439,-1.55
440,-1.625
441,-1.625
442,-1.65
443,-1.8
444,-1.825
445,-1.75
446,-1.8
447,-1.925
448,-1.925
449,-1.8
450,-1.7
451,-1.65
452,-1.825
453,-1.725
454,-1.8
455,-1.875
456,-1.875
457,-1.825
458,-1.725
459,-1.875
460,-1.925
461,-1.825
462,-1.875
463,-1.9
464,-1.9
465,-1.9
466,-1.775
467,-1.775
468,-1.825
469,-1.825
470,-1.85
471,-1.85
472,-1.775
473,-1.825
474,-1.775
475,-1.8
