Experiment: cooling schedule linear,"straight simulatedannealing, 2d, sequence 4, it: 10000, gemiddelde van 40 keer, formule: T_current = T_begin - current_iteration * (T_begin - T_end) / total_iterations"
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,-0.025
10,-0.05
11,-0.075
12,-0.075
13,-0.075
14,-0.075
15,-0.075
16,-0.075
17,-0.075
18,-0.075
19,-0.075
20,-0.075
21,-0.075
22,-0.075
23,-0.1
24,-0.1
25,-0.1
26,-0.125
27,-0.1
28,-0.125
29,-0.1
30,-0.1
31,-0.125
32,-0.125
33,-0.15
34,-0.175
35,-0.25
36,-0.275
37,-0.25
38,-0.275
39,-0.375
40,-0.375
41,-0.45
42,-0.45
43,-0.475
44,-0.5
45,-0.55
46,-0.55
47,-0.55
48,-0.6
49,-0.6
50,-0.65
51,-0.575
52,-0.6
53,-0.65
54,-0.675
55,-0.675
56,-0.725
57,-0.8
58,-0.775
59,-0.775
60,-0.775
61,-0.75
62,-0.725
63,-0.725
64,-0.775
65,-0.75
66,-0.775
67,-0.75
68,-0.725
69,-0.775
70,-0.825
71,-0.9
72,-0.925
73,-0.85
74,-0.825
75,-0.775
76,-0.8
77,-0.9
78,-0.875
79,-0.85
80,-0.975
81,-0.975
82,-0.95
83,-0.875
84,-0.9
85,-0.85
86,-0.875
87,-0.875
88,-0.925
89,-0.925
90,-0.9
91,-0.9
92,-0.9
93,-0.9
94,-0.95
95,-1.0
96,-0.95
97,-0.975
98,-1.075
99,-1.125
100,-1.175
101,-1.225
102,-1.175
103,-1.175
104,-1.075
105,-1.075
106,-1.0
107,-1.025
108,-0.925
109,-1.05
110,-1.1
111,-1.075
112,-1.1
113,-1.1
114,-1.075
115,-1.125
116,-1.1
117,-1.15
118,-1.15
119,-1.125
120,-1.175
121,-1.05
122,-1.15
123,-1.225
124,-1.2
125,-1.225
126,-1.325
127,-1.3
128,-1.3
129,-1.275
130,-1.25
131,-1.25
132,-1.225
133,-1.2
134,-1.225
135,-1.225
136,-1.25
137,-1.1
138,-1.05
139,-1.1
140,-1.15
141,-1.05
142,-1.15
143,-1.2
144,-1.275
145,-1.275
146,-1.3
147,-1.25
148,-1.225
149,-1.3
150,-1.25
151,-1.25
152,-1.35
153,-1.325
154,-1.325
155,-1.4
156,-1.375
157,-1.425
158,-1.5
159,-1.475
160,-1.475
161,-1.55
162,-1.525
163,-1.525
164,-1.525
165,-1.525
166,-1.5
167,-1.5
168,-1.4
169,-1.275
170,-1.4
171,-1.375
172,-1.35
173,-1.275
174,-1.3
175,-1.175
176,-1.25
177,-1.225
178,-1.2
179,-1.25
180,-1.225
181,-1.225
182,-1.275
183,-1.125
184,-1.05
185,-1.2
186,-1.225
187,-1.3
188,-1.325
189,-1.3
190,-1.475
191,-1.525
192,-1.475
193,-1.375
194,-1.425
195,-1.35
196,-1.2
197,-1.275
198,-1.325
199,-1.425
200,-1.4
201,-1.4
202,-1.375
203,-1.4
204,-1.425
205,-1.3
206,-1.3
207,-1.225
208,-1.3
209,-1.225
210,-1.325
211,-1.275
212,-1.35
213,-1.35
214,-1.225
215,-1.1
216,-1.075
217,-1.125
218,-1.175
219,-1.225
220,-1.175
221,-1.075
222,-1.075
223,-1.075
224,-1.075
225,-1.1
226,-1.1
227,-1.1
228,-1.075
229,-1.25
230,-1.2
231,-1.35
232,-1.275
233,-1.325
234,-1.25
235,-1.225
236,-1.3
237,-1.175
238,-1.275
239,-1.425
240,-1.45
241,-1.575
242,-1.65
243,-1.675
244,-1.675
245,-1.675
246,-1.575
247,-1.75
248,-1.825
249,-1.775
250,-1.75
251,-1.75
252,-1.65
253,-1.625
254,-1.7
255,-1.675
256,-1.6
257,-1.675
258,-1.65
259,-1.725
260,-1.5
261,-1.45
262,-1.5
263,-1.45
264,-1.55
265,-1.6
266,-1.6
267,-1.525
268,-1.55
269,-1.55
270,-1.5
271,-1.45
272,-1.475
273,-1.475
274,-1.475
275,-1.45
276,-1.525
277,-1.65
278,-1.625
279,-1.525
280,-1.475
281,-1.55
282,-1.55
283,-1.625
284,-1.7
285,-1.6
286,-1.45
287,-1.45
288,-1.475
289,-1.45
290,-1.6
291,-1.55
292,-1.6
293,-1.575
294,-1.6
295,-1.675
296,-1.6
297,-1.575
298,-1.5
299,-1.45
300,-1.475
301,-1.375
302,-1.375
303,-1.475
304,-1.4
305,-1.425
306,-1.525
307,-1.55
308,-1.6
309,-1.575
310,-1.575
311,-1.575
312,-1.525
313,-1.425
314,-1.4
315,-1.425
316,-1.5
317,-1.6
318,-1.425
319,-1.45
320,-1.425
321,-1.425
322,-1.325
323,-1.325
324,-1.375
325,-1.375
326,-1.25
327,-1.2
328,-1.275
329,-1.275
330,-1.225
331,-1.175
332,-1.25
333,-1.175
334,-1.3
335,-1.3
336,-1.25
337,-1.325
338,-1.35
339,-1.425
340,-1.4
341,-1.475
342,-1.425
343,-1.4
344,-1.5
345,-1.5
346,-1.575
347,-1.5
348,-1.5
349,-1.575
350,-1.55
351,-1.525
352,-1.6
353,-1.625
354,-1.575
355,-1.55
356,-1.5
357,-1.4
358,-1.525
359,-1.5
360,-1.575
361,-1.55
362,-1.375
363,-1.4
364,-1.425
365,-1.225
366,-1.35
367,-1.4
368,-1.425
369,-1.5
370,-1.5
371,-1.55
372,-1.55
373,-1.625
374,-1.625
375,-1.65
376,-1.575
377,-1.55
378,-1.6
379,-1.65
380,-1.7
381,-1.75
382,-1.85
383,-1.825
384,-1.725
385,-1.725
386,-1.825
387,-1.725
388,-1.6
389,-1.575
390,-1.7
391,-1.675
392,-1.7
393,-1.55
394,-1.55
395,-1.7
396,-1.85
397,-1.925
398,-1.825
399,-1.9
400,-1.85
401,-1.625
402,-1.65
403,-1.75
404,-1.525
405,-1.4
406,-1.375
407,-1.375
408,-1.475
409,-1.475
410,-1.65
411,-1.575
412,-1.575
413,-1.45
414,-1.425
415,-1.4
416,-1.45
417,-1.525
418,-1.35
419,-1.25
420,-1.2
421,-1.175
422,-1.175
423,-1.075
424,-1.275
425,-1.3
426,-1.35
427,-1.525
428,-1.375
429,-1.275
430,-1.175
431,-1.05
432,-1.1
433,-1.125
434,-1.175
435,-1.175
436,-1.025
437,-1.075
438,-1.15
439,-1.2
440,-1.225
441,-1.2
442,-1.325
443,-1.4
444,-1.425
445,-1.525
446,-1.525
447,-1.55
448,-1.4
449,-1.375
450,-1.3
451,-1.15
452,-1.15
453,-1.275
454,-1.4
455,-1.425
456,-1.325
457,-1.175
458,-1.125
459,-1.15
460,-1.225
461,-1.15
462,-1.275
463,-1.275
464,-1.275
465,-1.2
466,-1.25
467,-1.3
468,-1.25
469,-1.3
470,-1.375
471,-1.25
472,-1.225
473,-1.2
474,-1.225
475,-1.325
476,-1.275
477,-1.275
478,-1.2
