Experiment1,Test
0,-4
13,-4
14,-4
16,-4
18,-5
20,-5
24,-5
30,-5
34,-5
35,-5
36,-6
38,-6
47,-6
58,-6
59,-6
63,-7
85,-7
86,-7
106,-7
118,-7
120,-7
125,-7
137,-7
139,-7
144,-7
170,-7
173,-7
179,-7
185,-7
187,-7
192,-7
210,-7
229,-7
236,-7
282,-7
305,-7
314,-7
321,-7
330,-7
338,-7
340,-7
351,-7
357,-7
360,-7
371,-7
374,-7
378,-7
380,-7
383,-7
387,-7
400,-7
408,-7
409,-7
411,-7
423,-7
427,-7
432,-7
440,-7
445,-7
453,-7
456,-7
466,-7
467,-7
468,-7
471,-7
481,-7
484,-7
505,-7
515,-7
525,-7
533,-7
551,-7
555,-7
559,-7
572,-7
587,-7
595,-7
612,-7
613,-7
617,-7
619,-7
630,-7
634,-7
638,-7
698,-7
708,-7
726,-7
727,-7
730,-7
738,-7
744,-7
745,-7
763,-7
775,-7
783,-7
786,-7
793,-7
795,-7
815,-7
824,-7
830,-7
832,-7
838,-7
842,-7
852,-7
856,-7
857,-7
868,-7
877,-7
886,-7
891,-7
894,-7
900,-7
906,-7
910,-7
913,-7
922,-7
933,-7
934,-7
948,-7
949,-7
951,-7
964,-7
965,-7
969,-7
970,-7
977,-7
991,-7
996,-7
998,-7
1000,-7
