Experiment7: ,"Random, 3d, sequence 4, it: 1000"
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-3
8,-3
9,-3
10,-3
11,-3
12,-3
13,-3
14,-3
15,-3
16,-3
17,-3
18,-3
19,-3
20,-3
21,-3
22,-3
23,-3
24,-3
25,-3
26,-3
27,-3
28,-3
29,-3
30,-3
31,-3
32,-3
33,-3
34,-3
35,-4
36,-4
37,-4
38,-4
39,-4
40,-4
41,-4
42,-4
43,-4
44,-4
45,-4
46,-4
47,-4
48,-4
49,-4
50,-4
51,-4
52,-4
53,-4
54,-4
55,-4
56,-4
57,-4
58,-4
59,-4
60,-4
61,-4
62,-4
63,-4
64,-5
65,-5
66,-5
67,-5
68,-5
69,-5
70,-5
71,-5
72,-5
73,-5
74,-5
75,-5
76,-5
77,-5
78,-5
79,-5
80,-5
81,-5
82,-5
83,-5
84,-6
85,-7
86,-7
87,-7
88,-7
89,-7
90,-7
91,-7
92,-7
93,-7
94,-7
95,-7
96,-7
97,-7
98,-7
99,-7
100,-7
101,-7
102,-7
103,-7
104,-7
105,-7
106,-8
107,-8
108,-8
109,-8
110,-8
111,-8
112,-8
113,-8
114,-8
115,-8
116,-8
117,-8
118,-8
119,-8
120,-8
121,-8
122,-8
123,-8
124,-8
125,-8
126,-8
127,-8
128,-8
129,-8
130,-8
131,-8
132,-8
133,-8
134,-8
135,-8
136,-8
137,-8
138,-8
139,-8
140,-8
141,-8
142,-8
143,-8
144,-8
145,-8
146,-8
147,-8
148,-8
149,-8
150,-8
151,-10
152,-10
153,-10
154,-10
155,-10
156,-10
157,-10
158,-10
159,-10
160,-10
161,-10
162,-10
163,-10
164,-10
165,-10
166,-10
167,-10
168,-10
169,-10
170,-10
171,-10
172,-10
173,-10
174,-10
175,-10
176,-10
177,-10
178,-10
179,-10
180,-10
181,-10
182,-10
183,-10
184,-10
185,-10
186,-10
187,-10
188,-10
189,-10
190,-10
191,-10
192,-10
193,-10
194,-10
195,-10
196,-10
197,-10
198,-10
199,-10
200,-10
201,-10
202,-10
203,-10
204,-10
205,-10
206,-10
207,-10
208,-10
209,-10
210,-10
211,-10
212,-10
213,-10
214,-10
215,-10
216,-10
217,-10
218,-10
219,-10
220,-10
221,-10
222,-10
223,-10
224,-10
225,-10
226,-10
227,-10
228,-10
229,-10
230,-10
231,-10
232,-10
233,-10
234,-11
235,-11
236,-11
237,-11
238,-11
239,-11
240,-11
241,-11
242,-11
243,-11
244,-11
245,-11
246,-11
247,-11
248,-11
249,-11
250,-11
251,-11
252,-11
253,-11
254,-11
255,-11
256,-11
257,-12
258,-12
259,-12
260,-12
261,-12
262,-12
263,-12
264,-12
265,-12
266,-12
267,-12
268,-12
269,-12
270,-12
271,-12
272,-12
273,-12
274,-12
275,-12
276,-12
277,-12
278,-12
279,-12
280,-12
281,-12
282,-12
283,-12
284,-12
285,-12
286,-12
287,-12
288,-12
289,-12
290,-12
291,-12
292,-12
293,-12
294,-12
295,-12
296,-12
297,-12
298,-12
299,-12
300,-12
301,-12
302,-12
303,-12
304,-12
305,-12
306,-12
307,-12
308,-12
309,-12
310,-12
311,-12
312,-12
313,-12
314,-12
315,-12
316,-12
317,-12
318,-12
319,-12
320,-12
321,-12
322,-12
323,-12
324,-12
325,-12
326,-12
327,-12
328,-12
329,-12
330,-12
331,-12
332,-12
333,-12
334,-12
335,-12
336,-12
337,-12
338,-12
339,-12
340,-12
341,-12
342,-12
343,-12
344,-12
345,-12
346,-12
347,-12
348,-12
349,-12
350,-12
351,-12
352,-12
353,-12
354,-12
355,-12
356,-12
357,-12
358,-12
359,-12
360,-12
361,-12
362,-12
363,-12
364,-12
365,-12
366,-12
367,-12
368,-12
369,-12
370,-12
371,-12
372,-12
373,-12
374,-12
375,-12
376,-12
377,-12
378,-12
379,-12
380,-12
381,-12
382,-12
383,-12
384,-12
385,-12
386,-12
387,-12
388,-12
389,-12
390,-12
391,-12
392,-12
393,-12
394,-12
395,-12
396,-12
397,-12
398,-12
399,-12
400,-12
401,-12
402,-12
403,-12
404,-12
405,-12
406,-12
407,-12
408,-12
409,-12
410,-12
411,-12
412,-12
413,-12
414,-12
415,-12
416,-12
417,-12
418,-12
419,-12
420,-12
421,-12
422,-12
423,-12
424,-12
425,-12
426,-12
427,-12
428,-12
429,-12
430,-12
431,-12
432,-12
433,-12
434,-12
435,-12
436,-12
437,-12
438,-12
439,-12
440,-12
441,-12
442,-12
443,-12
444,-12
445,-12
446,-12
447,-12
448,-12
449,-12
450,-12
451,-12
452,-12
453,-12
454,-12
455,-12
456,-12
457,-12
458,-12
459,-12
460,-12
461,-12
462,-12
463,-12
464,-12
465,-12
466,-12
467,-12
468,-12
469,-12
470,-12
471,-12
472,-12
473,-12
474,-12
475,-12
476,-12
477,-12
478,-12
479,-12
480,-12
481,-12
482,-12
483,-12
484,-12
485,-12
486,-12
487,-12
488,-12
489,-12
490,-12
491,-12
492,-12
493,-12
494,-12
495,-12
496,-12
497,-12
498,-12
499,-12
500,-12
501,-12
502,-12
503,-12
504,-12
505,-12
506,-12
507,-12
508,-12
509,-12
510,-12
511,-12
512,-12
513,-12
514,-12
515,-12
516,-12
517,-12
518,-12
519,-12
520,-12
521,-12
522,-12
523,-12
524,-12
525,-12
526,-12
527,-12
528,-12
529,-12
530,-12
531,-12
532,-12
533,-12
534,-12
535,-12
536,-12
537,-12
538,-12
539,-12
540,-12
541,-12
542,-12
543,-12
544,-12
545,-12
546,-12
547,-12
548,-12
549,-12
550,-12
551,-12
552,-12
553,-12
554,-12
555,-12
556,-12
557,-12
558,-12
559,-12
560,-12
561,-12
562,-12
563,-12
564,-12
565,-12
566,-12
567,-12
568,-12
569,-12
570,-13
571,-13
572,-13
573,-13
574,-13
575,-13
576,-13
577,-13
578,-13
579,-13
580,-13
581,-13
582,-13
583,-13
584,-13
585,-13
586,-13
587,-13
588,-13
589,-13
590,-13
591,-13
592,-13
593,-13
594,-13
595,-13
596,-13
597,-13
598,-13
599,-13
600,-13
601,-13
602,-13
603,-13
604,-13
605,-13
606,-13
607,-13
608,-13
609,-13
610,-13
611,-13
612,-13
613,-13
614,-13
615,-13
616,-13
617,-13
618,-13
619,-13
620,-13
621,-13
622,-13
623,-13
624,-13
625,-13
626,-13
627,-13
628,-13
629,-13
630,-13
631,-13
632,-13
633,-13
634,-13
635,-13
636,-13
637,-13
638,-13
639,-13
640,-13
641,-13
642,-13
643,-13
644,-13
